id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1720;Escort;"3-deurs hatchback";1980;1986;228;Escort;51015
1724;Escort;"5-deurs hatchback";1980;1986;228;Escort;51016
1732;Escort;"3-deurs hatchback";1986;1990;228;Escort;51017
1734;Escort;"5-deurs hatchback";1986;1990;228;Escort;0
1740;Escort;"5-deurs hatchback";1990;1992;228;Escort;19609
1738;Escort;"3-deurs hatchback";1990;1992;228;Escort;19606
1750;Escort;"5-deurs hatchback";1992;1995;228;Escort;51018
1748;Escort;"3-deurs hatchback";1992;1996;228;Escort;20091
1756;Escort;"4-deurs sedan";1993;1995;228;Escort;20106
1760;Escort;"3-deurs hatchback";1995;1998;228;Escort;21056
1762;Escort;"4-deurs sedan";1995;1998;228;Escort;21060
1765;Escort;"5-deurs hatchback";1995;2000;228;Escort;21063
1728;"Escort Cabrio";"2-deurs cabriolet";1984;1986;228;Escort;0
1730;"Escort Cabrio";"2-deurs cabriolet";1986;1990;228;Escort;0
1746;"Escort Cabrio";"2-deurs cabriolet";1992;1993;228;Escort;0
1754;"Escort Cabrio";"2-deurs cabriolet";1993;1995;228;Escort;20338
1758;"Escort Cabriolet";"2-deurs cabriolet";1995;1998;228;Escort;21066
1743;"Escort Clipper";"5-deurs stationwagon";1991;1992;228;Escort;19833
1752;"Escort Clipper";"5-deurs stationwagon";1992;1995;228;Escort;0
1722;"Escort Stationwagon";"3-deurs stationwagon";1980;1986;228;Escort;0
1726;"Escort Stationwagon";"5-deurs stationwagon";1983;1986;228;Escort;0
1736;"Escort Stationwagon";"5-deurs stationwagon";1986;1990;228;Escort;0
1768;"Escort Wagon";"5-deurs stationwagon";1995;2000;228;Escort;21069
