id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
1943;Sierra;"5-deurs hatchback";1982;1987;243;Sierra;51021
1945;Sierra;"3-deurs hatchback";1983;1987;243;Sierra;0
1953;Sierra;"5-deurs hatchback";1987;1990;243;Sierra;0
1951;Sierra;"4-deurs sedan";1987;1990;243;Sierra;0
1949;Sierra;"3-deurs hatchback";1987;1990;243;Sierra;0
1957;Sierra;"3-deurs hatchback";1990;1993;243;Sierra;19622
1959;Sierra;"4-deurs sedan";1990;1993;243;Sierra;19624
1961;Sierra;"5-deurs hatchback";1990;1993;243;Sierra;19627
1947;"Sierra Stationwagon";"5-deurs stationwagon";1983;1987;243;Sierra;0
1955;"Sierra Stationwagon";"5-deurs stationwagon";1987;1990;243;Sierra;0
1963;"Sierra Stationwagon";"5-deurs stationwagon";1990;1993;243;Sierra;19633
