id;pikk_mudel;kytus;kaigukast;alates;kuni
45245;"C-MAX 1.6 16V Trend";B;H5;2007;2010
45257;"C-MAX 1.6 16V Ghia";B;H5;2007;2010
45256;"C-MAX 1.6 16V Titanium";B;H5;2007;2010
45256;"C-MAX 1.6 16V Titanium";B;H5;2007;2010
45247;"C-MAX 1.8 16V Trend";B;H5;2007;2010
54731;"C-MAX 1.8 16V Limited";B;H5;2009;2010
45259;"C-MAX 1.8 16V Ghia";B;H5;2007;2010
45259;"C-MAX 1.8 16V Ghia";B;H5;2007;2010
45258;"C-MAX 1.8 16V Titanium";B;H5;2007;2010
45248;"C-MAX 1.8 16V Flexifuel Trend";B;H5;2007;2009
45261;"C-MAX 1.8 16V Flexifuel Ghia";B;H5;2007;2010
45261;"C-MAX 1.8 16V Flexifuel Ghia";B;H5;2007;2010
45260;"C-MAX 1.8 16V Flexifuel Titanium";B;H5;2007;2010
45249;"C-MAX 2.0 16V Trend";B;H5;2007;2010
45250;"C-MAX 2.0 16V Trend";B;A4;2007;2010
45250;"C-MAX 2.0 16V Trend";B;A4;2007;2010
45265;"C-MAX 2.0 16V Ghia";B;H5;2007;2010
45264;"C-MAX 2.0 16V Ghia";B;A4;2007;2010
45263;"C-MAX 2.0 16V Titanium";B;H5;2007;2010
45263;"C-MAX 2.0 16V Titanium";B;H5;2007;2010
45262;"C-MAX 2.0 16V Titanium";B;A4;2007;2010
54724;"C-MAX 2.0 16V LPG Trend";B;H5;2009;2010
54725;"C-MAX 2.0 16V LPG Ghia";B;H5;2009;2010
54725;"C-MAX 2.0 16V LPG Ghia";B;H5;2009;2010
54726;"C-MAX 2.0 16V LPG Titanium";B;H5;2009;2010
54727;"C-MAX 2.0 16V CNG Trend";B;H5;2009;2010
54728;"C-MAX 2.0 16V CNG Ghia";B;H5;2009;2010
54728;"C-MAX 2.0 16V CNG Ghia";B;H5;2009;2010
54729;"C-MAX 2.0 16V CNG Titanium";B;H5;2009;2010
45251;"C-MAX 1.6 TDCi 90pk Trend";D;H5;2007;2008
45267;"C-MAX 1.6 TDCi 90pk Ghia";D;H5;2007;2008
45267;"C-MAX 1.6 TDCi 90pk Ghia";D;H5;2007;2008
45266;"C-MAX 1.6 TDCi 90pk Titanium";D;H5;2007;2008
48601;"C-MAX 1.6 TDCi 100pk Trend";D;H5;2008;2010
48599;"C-MAX 1.6 TDCi 100pk Ghia";D;H5;2008;2010
48599;"C-MAX 1.6 TDCi 100pk Ghia";D;H5;2008;2010
48600;"C-MAX 1.6 TDCi 100pk Titanium";D;H5;2008;2010
45254;"C-MAX 1.6 TDCi 109pk Trend";D;H5;2007;2010
54730;"C-MAX 1.6 TDCi 109pk Limited";D;H5;2009;2010
54730;"C-MAX 1.6 TDCi 109pk Limited";D;H5;2009;2010
45269;"C-MAX 1.6 TDCi 109pk Ghia";D;H5;2007;2010
45268;"C-MAX 1.6 TDCi 109pk Titanium";D;H5;2007;2010
45252;"C-MAX 1.8 TDCi Trend";D;H5;2007;2008
45252;"C-MAX 1.8 TDCi Trend";D;H5;2007;2008
45271;"C-MAX 1.8 TDCi Ghia";D;H5;2007;2008
45270;"C-MAX 1.8 TDCi Titanium";D;H5;2007;2008
45253;"C-MAX 2.0 TDCi Trend";D;H6;2007;2010
45253;"C-MAX 2.0 TDCi Trend";D;H6;2007;2010
48775;"C-MAX 2.0 TDCi Trend";D;A6;2008;2010
45273;"C-MAX 2.0 TDCi Ghia";D;H6;2007;2010
48776;"C-MAX 2.0 TDCi Ghia";D;A6;2008;2010
48776;"C-MAX 2.0 TDCi Ghia";D;A6;2008;2010
45272;"C-MAX 2.0 TDCi Titanium";D;H6;2007;2010
48777;"C-MAX 2.0 TDCi Titanium";D;A6;2008;2010
