id;pikk_mudel;kytus;kaigukast;alates;kuni
39317;"Escort Stationwagon 1.1 Custom";B;H4;1980;1982
39318;"Escort Stationwagon 1.1 L";B;H4;1980;1982
39319;"Escort Stationwagon 1.1 GL";B;H4;1980;1983
39319;"Escort Stationwagon 1.1 GL";B;H4;1980;1983
318;"Escort Stationwagon 1.1 Bravo";B;H4;1982;1985
39325;"Escort Stationwagon 1.3 Custom";B;H4;1980;1984
39326;"Escort Stationwagon 1.3 L";B;H4;1980;1982
39326;"Escort Stationwagon 1.3 L";B;H4;1980;1982
39327;"Escort Stationwagon 1.3 GL";B;H4;1980;1983
692;"Escort Stationwagon 1.3 Laser";B;H4;1983;1986
319;"Escort Stationwagon 1.3 Bravo";B;H4;1982;1986
319;"Escort Stationwagon 1.3 Bravo";B;H4;1982;1986
39332;"Escort Stationwagon 1.6 L";B;H4;1980;1982
39335;"Escort Stationwagon 1.6 Bravo";B;H4;1982;1983
39333;"Escort Stationwagon 1.6 GL";B;H4;1980;1983
39333;"Escort Stationwagon 1.6 GL";B;H4;1980;1983
1122;"Escort Stationwagon 1.6 D Laser";D;H5;1984;1986
