id;pikk_mudel;kytus;kaigukast;alates;kuni
5065;"Fiesta 1.1i C";B;H5;1989;1990
5066;"Fiesta 1.1i CL";B;H5;1989;1990
6151;"Fiesta 1.1i Cheers";B;H5;1990;1994
6151;"Fiesta 1.1i Cheers";B;H5;1990;1994
7695;"Fiesta 1.1i Flash";B;H5;1992;1994
6152;"Fiesta 1.1i SX";B;H5;1990;1991
6153;"Fiesta 1.1i CLX";B;H5;1990;1991
6153;"Fiesta 1.1i CLX";B;H5;1990;1991
5067;"Fiesta 1.1 CL CTX";B;A1;1989;1990
6154;"Fiesta 1.1 Special CTX";B;A1;1990;1991
7024;"Fiesta 1.1 Cheers CTX";B;A1;1991;1991
7024;"Fiesta 1.1 Cheers CTX";B;A1;1991;1991
7025;"Fiesta 1.3i Cheers";B;H5;1991;1994
7696;"Fiesta 1.3i Flash";B;H5;1992;1994
7026;"Fiesta 1.3i SX";B;H5;1991;1994
7026;"Fiesta 1.3i SX";B;H5;1991;1994
7027;"Fiesta 1.3i CLX";B;H5;1991;1994
7028;"Fiesta 1.3i Calypso";B;H5;1991;1994
5068;"Fiesta 1.4i C";B;H5;1989;1990
5068;"Fiesta 1.4i C";B;H5;1989;1990
5069;"Fiesta 1.4i CL";B;H5;1989;1990
5070;"Fiesta 1.4i S";B;H5;1989;1992
6155;"Fiesta 1.4i CLX";B;H5;1990;1994
6155;"Fiesta 1.4i CLX";B;H5;1990;1994
6156;"Fiesta 1.4 Special CTX";B;A1;1990;1991
5071;"Fiesta 1.6 XR2i";B;H5;1989;1992
7697;"Fiesta 1.8i S 16V";B;H5;1992;1994
7697;"Fiesta 1.8i S 16V";B;H5;1992;1994
7698;"Fiesta 1.8 XR2i 16V";B;H5;1992;1994
6157;"Fiesta 1.6 Turbo";B;H5;1990;1992
5072;"Fiesta 1.8 D C";D;H5;1989;1990
5072;"Fiesta 1.8 D C";D;H5;1989;1990
6158;"Fiesta 1.8 D Special";D;H5;1990;1991
7029;"Fiesta 1.8 D Cheers";D;H5;1991;1994
