id;pikk_mudel;kytus;kaigukast;alates;kuni
47913;"Focus 1.4 16V Trend";B;H5;2008;2010
47917;"Focus 1.6 16V Trend";B;H5;2008;2010
47921;"Focus 1.6 16V Trend";B;A4;2008;2010
47921;"Focus 1.6 16V Trend";B;A4;2008;2010
47928;"Focus 1.6 16V Titanium";B;H5;2008;2010
47927;"Focus 1.6 16V Titanium";B;A4;2008;2010
48868;"Focus 1.6 16V Ghia";B;H5;2008;2008
48868;"Focus 1.6 16V Ghia";B;H5;2008;2008
48869;"Focus 1.6 16V Ghia";B;A4;2008;2008
47940;"Focus 2.0 16V Titanium";B;H5;2008;2010
47939;"Focus 2.0 16V Titanium";B;A4;2008;2010
47939;"Focus 2.0 16V Titanium";B;A4;2008;2010
48870;"Focus 2.0 16V Ghia";B;H5;2008;2009
48871;"Focus 2.0 16V Ghia";B;A4;2008;2009
47956;"Focus 1.6 TDCi 100pk Titanium";D;H5;2008;2009
47956;"Focus 1.6 TDCi 100pk Titanium";D;H5;2008;2009
48872;"Focus 1.6 TDCi 100pk Ghia";D;H5;2008;2009
47955;"Focus 1.6 TDCi 109pk Trend";D;H5;2008;2010
47954;"Focus 1.6 TDCi 109pk Titanium";D;H5;2008;2010
47954;"Focus 1.6 TDCi 109pk Titanium";D;H5;2008;2010
48873;"Focus 1.6 TDCi 109pk Ghia";D;H5;2008;2009
47953;"Focus 2.0 TDCi Titanium";D;H6;2008;2010
48857;"Focus 2.0 TDCi Titanium";D;A6;2008;2010
48857;"Focus 2.0 TDCi Titanium";D;A6;2008;2010
48874;"Focus 2.0 TDCi Ghia";D;H6;2008;2009
48875;"Focus 2.0 TDCi Ghia";D;A6;2008;2009
