id;pikk_mudel;kytus;kaigukast;alates;kuni
26933;"Fusion 1.4 16V Core";B;H5;2002;2003
30442;"Fusion 1.4 16V Celebration";B;H5;2003;2004
31741;"Fusion 1.4 16V Style";B;H5;2004;2005
31741;"Fusion 1.4 16V Style";B;H5;2004;2005
26935;"Fusion 1.4 16V Trend";B;H5;2002;2005
26936;"Fusion 1.4 16V Trend";B;A5;2002;2005
32502;"Fusion 1.4 16V Futura";B;H5;2004;2005
32502;"Fusion 1.4 16V Futura";B;H5;2004;2005
32501;"Fusion 1.4 16V Futura";B;A5;2004;2005
26938;"Fusion 1.4 16V Luxury";B;H5;2002;2004
26937;"Fusion 1.4 16V Luxury";B;A5;2002;2004
26937;"Fusion 1.4 16V Luxury";B;A5;2002;2004
31746;"Fusion 1.4 16V Ghia";B;H5;2004;2005
31745;"Fusion 1.4 16V Ghia";B;A5;2004;2005
28907;"Fusion 1.4 16V Fusion+";B;A5;2003;2004
28907;"Fusion 1.4 16V Fusion+";B;A5;2003;2004
26940;"Fusion 1.6 16V Trend";B;H5;2002;2005
31742;"Fusion 1.6 16V Trend";B;A4;2004;2005
32504;"Fusion 1.6 16V Futura";B;H5;2004;2005
32504;"Fusion 1.6 16V Futura";B;H5;2004;2005
32503;"Fusion 1.6 16V Futura";B;A4;2004;2005
26939;"Fusion 1.6 16V Luxury";B;H5;2002;2004
31747;"Fusion 1.6 16V Ghia";B;H5;2004;2005
31747;"Fusion 1.6 16V Ghia";B;H5;2004;2005
31748;"Fusion 1.6 16V Ghia";B;A4;2004;2005
26945;"Fusion 1.6 16V First Edition";B;H5;2002;2003
27915;"Fusion 1.6 16V Centennial";B;H5;2003;2004
27915;"Fusion 1.6 16V Centennial";B;H5;2003;2004
28908;"Fusion 1.6 16V Fusion+";B;H5;2003;2004
31743;"Fusion 1.6 16V Fusion+";B;A4;2004;2004
26943;"Fusion 1.4 TDCi Core";D;H5;2002;2004
26943;"Fusion 1.4 TDCi Core";D;H5;2002;2004
26942;"Fusion 1.4 TDCi Trend";D;H5;2002;2005
28905;"Fusion 1.4 TDCi Trend";D;A5;2003;2005
32505;"Fusion 1.4 TDCi Futura";D;H5;2004;2005
32505;"Fusion 1.4 TDCi Futura";D;H5;2004;2005
35667;"Fusion 1.4 TDCi Futura";D;A5;2005;2005
26941;"Fusion 1.4 TDCi Luxury";D;H5;2002;2004
28906;"Fusion 1.4 TDCi Luxury";D;A5;2003;2004
28906;"Fusion 1.4 TDCi Luxury";D;A5;2003;2004
31750;"Fusion 1.4 TDCi Ghia";D;H5;2004;2005
31749;"Fusion 1.4 TDCi Ghia";D;A5;2004;2005
31744;"Fusion 1.4 TDCi Fusion+";D;H5;2004;2004
31744;"Fusion 1.4 TDCi Fusion+";D;H5;2004;2004
26946;"Fusion 1.4 TDCi First Edition";D;H5;2002;2003
34843;"Fusion 1.6 16V TDCi Trend";D;H5;2005;2005
34844;"Fusion 1.6 16V TDCi Futura";D;H5;2005;2005
34844;"Fusion 1.6 16V TDCi Futura";D;H5;2005;2005
34845;"Fusion 1.6 16V TDCi Ghia";D;H5;2005;2005
