id;pikk_mudel;kytus;kaigukast;alates;kuni
20845;"Galaxy 2.0 Cool Edition";B;H5;2001;2003
27916;"Galaxy 2.0 Centennial";B;H5;2003;2003
24043;"Galaxy 2.3 16V Ambiente";B;H5;2000;2003
24043;"Galaxy 2.3 16V Ambiente";B;H5;2000;2003
20846;"Galaxy 2.3 16V Trend";B;H5;2000;2003
20847;"Galaxy 2.3 16V Trend";B;A4;2000;2003
28914;"Galaxy 2.3 16V Collection";B;H5;2003;2003
28914;"Galaxy 2.3 16V Collection";B;H5;2003;2003
28913;"Galaxy 2.3 16V Collection";B;A4;2003;2003
20848;"Galaxy 2.3 16V Ghia";B;H5;2000;2003
20849;"Galaxy 2.3 16V Ghia";B;A4;2000;2003
20849;"Galaxy 2.3 16V Ghia";B;A4;2000;2003
20850;"Galaxy 2.8 V6 24V Trend";B;H6;2000;2003
20851;"Galaxy 2.8 V6 24V Trend";B;A5;2000;2003
20852;"Galaxy 2.8 V6 24V Ghia";B;H6;2000;2003
20852;"Galaxy 2.8 V6 24V Ghia";B;H6;2000;2003
20853;"Galaxy 2.8 V6 24V Ghia";B;A5;2000;2003
25957;"Galaxy 1.9 TDI 90pk Cool Edition";D;H6;2002;2002
20854;"Galaxy 1.9 TDI 90pk Ambiente";D;H6;2000;2003
20854;"Galaxy 1.9 TDI 90pk Ambiente";D;H6;2000;2003
20855;"Galaxy 1.9 TDI 90pk Trend";D;H6;2000;2003
25959;"Galaxy 1.9 TDI 115pk Cool Edition";D;H6;2002;2002
20856;"Galaxy 1.9 TDI 115pk Ambiente";D;H6;2000;2003
20856;"Galaxy 1.9 TDI 115pk Ambiente";D;H6;2000;2003
26951;"Galaxy 1.9 TDI 115pk Ambiente";D;A5;2002;2003
20857;"Galaxy 1.9 TDI 115pk Trend";D;H6;2000;2003
20858;"Galaxy 1.9 TDI 115pk Trend";D;A5;2000;2003
20858;"Galaxy 1.9 TDI 115pk Trend";D;A5;2000;2003
20859;"Galaxy 1.9 TDI 115pk Ghia";D;H6;2000;2003
20860;"Galaxy 1.9 TDI 115pk Ghia";D;A5;2000;2003
27738;"Galaxy 1.9 TDI 130pk Trend";D;H6;2003;2003
27738;"Galaxy 1.9 TDI 130pk Trend";D;H6;2003;2003
27737;"Galaxy 1.9 TDI 130pk Ghia";D;H6;2003;2003
