id;pikk_mudel;kytus;kaigukast;alates;kuni
39425;"Granada Stationwagon 2.0 Custom";B;H4;1977;1981
39428;"Granada Stationwagon 2.0 L";B;H4;1977;1981
39432;"Granada Stationwagon 2.3 Custom";B;H4;1977;1981
39432;"Granada Stationwagon 2.3 Custom";B;H4;1977;1981
39434;"Granada Stationwagon 2.3 L";B;H4;1977;1981
39436;"Granada Stationwagon 2.3 GL";B;H4;1977;1981
39440;"Granada Stationwagon 2.8 GL";B;H4;1977;1981
39440;"Granada Stationwagon 2.8 GL";B;H4;1977;1981
39442;"Granada Stationwagon 2.8 Ghia";B;H4;1977;1981
39445;"Granada Stationwagon 2.8 GLS";B;H4;1977;1981
39447;"Granada Stationwagon 2.8 Ghia S";B;H4;1977;1981
39447;"Granada Stationwagon 2.8 Ghia S";B;H4;1977;1981
39453;"Granada Stationwagon 2.8i GL";B;H4;1977;1981
39454;"Granada Stationwagon 2.8i Ghia";B;H4;1977;1981
39455;"Granada Stationwagon 2.8i GLS";B;H4;1977;1981
39455;"Granada Stationwagon 2.8i GLS";B;H4;1977;1981
39456;"Granada Stationwagon 2.8i Ghia S";B;H4;1977;1981
