id;pikk_mudel;kytus;kaigukast;alates;kuni
56651;"Ka 1.2 Limited";B;H5;2010;2010
59569;"Ka 1.2 Limited";B;H5;2010;heden
50846;"Ka 1.2 Trend";B;H5;2008;2010
50846;"Ka 1.2 Trend";B;H5;2008;2010
56649;"Ka 1.2 Cool &amp; Sound";B;H5;2010;2010
63537;"Ka 1.2 Cool &amp; Sound";B;H5;2011;2012
68538;"Ka 1.2 Champions Edition";B;H5;2012;2013
68538;"Ka 1.2 Champions Edition";B;H5;2012;2013
70965;"Ka 1.2 Cool &amp; Sound";B;H5;2013;2013
73956;"Ka 1.2 Style";B;H5;2013;heden
59570;"Ka 1.2 Comfort";B;H5;2010;2011
59570;"Ka 1.2 Comfort";B;H5;2010;2011
50849;"Ka 1.2 Titanium";B;H5;2008;2010
56650;"Ka 1.2 Titanium X";B;H5;2010;2010
59571;"Ka 1.2 Titanium X";B;H5;2010;heden
59571;"Ka 1.2 Titanium X";B;H5;2010;heden
64223;"Ka 1.2 Grand Prix";B;H5;2011;2012
63376;"Ka 1.2 Metal";B;H5;2011;2013
50850;"Ka 1.3 TDCi Trend";D;H5;2008;2010
50850;"Ka 1.3 TDCi Trend";D;H5;2008;2010
50851;"Ka 1.3 TDCi Titanium";D;H5;2008;2010
