id;pikk_mudel;kytus;kaigukast;alates;kuni
20801;"Mondeo 1.8 16V 110pk Business Edition";B;H5;2001;2002
25500;"Mondeo 1.8 16V 110pk Cool Edition";B;H5;2002;2003
27929;"Mondeo 1.8 16V 110pk Centennial";B;H5;2003;2003
27929;"Mondeo 1.8 16V 110pk Centennial";B;H5;2003;2003
24928;"Mondeo 1.8 16V 110pk Trend";B;H5;2000;2003
25121;"Mondeo 1.8 16V 110pk Collection";B;H5;2001;2003
25506;"Mondeo 1.8 16V 125pk Cool Edition";B;H5;2002;2003
25506;"Mondeo 1.8 16V 125pk Cool Edition";B;H5;2002;2003
27932;"Mondeo 1.8 16V 125pk Centennial";B;H5;2003;2003
20802;"Mondeo 1.8 16V 125pk Trend";B;H5;2000;2003
25124;"Mondeo 1.8 16V 125pk Collection";B;H5;2001;2003
25124;"Mondeo 1.8 16V 125pk Collection";B;H5;2001;2003
20803;"Mondeo 1.8 16V 125pk First Edition";B;H5;2000;2001
20804;"Mondeo 1.8 16V 125pk Ghia";B;H5;2000;2003
20805;"Mondeo 2.0 16V Trend";B;H5;2000;2003
20805;"Mondeo 2.0 16V Trend";B;H5;2000;2003
20806;"Mondeo 2.0 16V Trend";B;A4;2000;2003
25128;"Mondeo 2.0 16V Collection";B;H5;2001;2003
25127;"Mondeo 2.0 16V Collection";B;A4;2001;2003
25127;"Mondeo 2.0 16V Collection";B;A4;2001;2003
20807;"Mondeo 2.0 16V Ghia";B;H5;2000;2003
20808;"Mondeo 2.0 16V Ghia";B;A4;2000;2003
20809;"Mondeo 2.5 V6 24V Trend";B;H5;2000;2003
20809;"Mondeo 2.5 V6 24V Trend";B;H5;2000;2003
26007;"Mondeo 2.5 V6 24V Trend";B;A5;2002;2003
25133;"Mondeo 2.5 V6 24V Collection";B;H5;2001;2003
26008;"Mondeo 2.5 V6 24V Collection";B;A5;2002;2003
26008;"Mondeo 2.5 V6 24V Collection";B;A5;2002;2003
20810;"Mondeo 2.5 V6 24V Ghia";B;H5;2000;2003
26009;"Mondeo 2.5 V6 24V Ghia";B;A5;2002;2003
25745;"Mondeo 3.0 V6 24V ST 220";B;H5;2002;2003
25745;"Mondeo 3.0 V6 24V ST 220";B;H5;2002;2003
20811;"Mondeo 2.0 TDdi 90pk Business Edition";D;H5;2000;2002
25503;"Mondeo 2.0 TDdi 90pk Cool Edition";D;H5;2002;2003
27935;"Mondeo 2.0 TDdi 90pk Centennial";D;H5;2003;2003
27935;"Mondeo 2.0 TDdi 90pk Centennial";D;H5;2003;2003
20812;"Mondeo 2.0 TDdi 115pk Trend";D;H5;2000;2002
25136;"Mondeo 2.0 TDdi 115pk Collection";D;H5;2001;2002
20813;"Mondeo 2.0 TDdi 115pk First Edition";D;H5;2000;2001
20813;"Mondeo 2.0 TDdi 115pk First Edition";D;H5;2000;2001
20814;"Mondeo 2.0 TDdi 115pk Ghia";D;H5;2000;2002
27938;"Mondeo 2.0 TDCi 115pk Centennial";D;H5;2003;2003
26501;"Mondeo 2.0 TDCi 115pk Trend";D;H5;2002;2003
26501;"Mondeo 2.0 TDCi 115pk Trend";D;H5;2002;2003
26502;"Mondeo 2.0 TDCi 115pk Trend";D;A5;2002;2003
26503;"Mondeo 2.0 TDCi 115pk Collection";D;H5;2002;2003
26504;"Mondeo 2.0 TDCi 115pk Collection";D;A5;2002;2003
26504;"Mondeo 2.0 TDCi 115pk Collection";D;A5;2002;2003
26505;"Mondeo 2.0 TDCi 115pk Ghia";D;H5;2002;2003
26506;"Mondeo 2.0 TDCi 115pk Ghia";D;A5;2002;2003
24932;"Mondeo 2.0 TDCi 130pk Trend";D;H5;2001;2003
24932;"Mondeo 2.0 TDCi 130pk Trend";D;H5;2001;2003
26370;"Mondeo 2.0 TDCi 130pk Trend";D;A5;2002;2003
25139;"Mondeo 2.0 TDCi 130pk Collection";D;H5;2001;2003
26376;"Mondeo 2.0 TDCi 130pk Collection";D;A5;2002;2003
26376;"Mondeo 2.0 TDCi 130pk Collection";D;A5;2002;2003
25142;"Mondeo 2.0 TDCi 130pk Navigator";D;H5;2001;2003
26377;"Mondeo 2.0 TDCi 130pk Navigator";D;A5;2002;2003
24931;"Mondeo 2.0 TDCi 130pk Ghia";D;H5;2001;2003
24931;"Mondeo 2.0 TDCi 130pk Ghia";D;H5;2001;2003
26371;"Mondeo 2.0 TDCi 130pk Ghia";D;A5;2002;2003
