id;pikk_mudel;kytus;kaigukast;alates;kuni
60085;"Mondeo 1.6 Ambiente";B;H5;2011;2012
58488;"Mondeo 1.6 Trend";B;H5;2010;2013
60101;"Mondeo 1.6 Trend Business";B;H5;2011;2011
60101;"Mondeo 1.6 Trend Business";B;H5;2011;2011
58494;"Mondeo 1.6 Titanium";B;H5;2010;2011
58497;"Mondeo 2.0 Trend";B;H5;2010;2011
58500;"Mondeo 2.0 Titanium";B;H5;2010;2011
58500;"Mondeo 2.0 Titanium";B;H5;2010;2011
58510;"Mondeo 2.0 Flexifuel Trend";B;H5;2010;2011
58511;"Mondeo 2.0 Flexifuel Titanium";B;H5;2010;2011
63358;"Mondeo 1.6 EcoBoost ECOnetic Trend";B;H6;2011;2013
63358;"Mondeo 1.6 EcoBoost ECOnetic Trend";B;H6;2011;2013
60104;"Mondeo 1.6 EcoBoost ECOnetic Trend Business";B;H6;2011;2011
58525;"Mondeo 1.6 EcoBoost ECOnetic Titanium";B;H6;2011;heden
63177;"Mondeo 1.6 EcoBoost ECOnetic Lease Titanium";B;H6;2011;2013
63177;"Mondeo 1.6 EcoBoost ECOnetic Lease Titanium";B;H6;2011;2013
75740;"Mondeo 1.6 EcoBoost ECOnetic Platinum";B;H6;2013;heden
58516;"Mondeo 2.0 EcoBoost 203pk Trend Business";B;A6;2010;2011
63361;"Mondeo 2.0 EcoBoost 203pk Titanium";B;H6;2011;2012
63361;"Mondeo 2.0 EcoBoost 203pk Titanium";B;H6;2011;2012
58517;"Mondeo 2.0 EcoBoost 203pk Titanium";B;A6;2010;2013
75741;"Mondeo 2.0 EcoBoost 203pk Platinum";B;A6;2013;heden
58552;"Mondeo 2.0 EcoBoost 203pk S-Edition";B;A6;2010;2011
58552;"Mondeo 2.0 EcoBoost 203pk S-Edition";B;A6;2010;2011
58522;"Mondeo 2.0 EcoBoost 240pk Titanium";B;A6;2010;2011
58553;"Mondeo 2.0 EcoBoost 240pk S-Edition";B;A6;2010;2011
60087;"Mondeo 1.6 TDCi ECOnetic Ambiente";D;H6;2011;2011
60087;"Mondeo 1.6 TDCi ECOnetic Ambiente";D;H6;2011;2011
63368;"Mondeo 1.6 TDCi ECOnetic Trend";D;H6;2011;2013
60086;"Mondeo 1.6 TDCi ECOnetic Trend Business";D;H6;2011;2011
63178;"Mondeo 1.6 TDCi ECOnetic Lease Trend";D;H6;2011;2013
63178;"Mondeo 1.6 TDCi ECOnetic Lease Trend";D;H6;2011;2013
60088;"Mondeo 1.6 TDCi ECOnetic Titanium";D;H6;2011;2013
63179;"Mondeo 1.6 TDCi ECOnetic Lease Titanium";D;H6;2011;2013
72975;"Mondeo 1.6 TDCi ECOnetic Trend";D;H6;2013;2013
72975;"Mondeo 1.6 TDCi ECOnetic Trend";D;H6;2013;2013
72976;"Mondeo 1.6 TDCi ECOnetic Lease Trend";D;H6;2013;2013
72977;"Mondeo 1.6 TDCi ECOnetic Titanium";D;H6;2013;heden
72978;"Mondeo 1.6 TDCi ECOnetic Lease Titanium";D;H6;2013;2013
72978;"Mondeo 1.6 TDCi ECOnetic Lease Titanium";D;H6;2013;2013
75742;"Mondeo 1.6 TDCi ECOnetic Lease Platinum";D;H6;2013;heden
58503;"Mondeo 2.0 TDCi 115pk Trend";D;H6;2010;2011
58506;"Mondeo 2.0 TDCi 115pk Titanium";D;H6;2010;2011
58506;"Mondeo 2.0 TDCi 115pk Titanium";D;H6;2010;2011
58531;"Mondeo 2.0 TDCi 140pk Trend";D;H6;2010;2011
58537;"Mondeo 2.0 TDCi 140pk Trend";D;A6;2010;2011
58524;"Mondeo 2.0 TDCi 140pk Trend Business";D;H6;2011;2011
58524;"Mondeo 2.0 TDCi 140pk Trend Business";D;H6;2011;2011
60105;"Mondeo 2.0 TDCi 140pk Trend Business";D;A6;2010;2011
58532;"Mondeo 2.0 TDCi 140pk Titanium";D;H6;2010;heden
58538;"Mondeo 2.0 TDCi 140pk Titanium";D;A6;2010;2013
58538;"Mondeo 2.0 TDCi 140pk Titanium";D;A6;2010;2013
58544;"Mondeo 2.0 TDCi 163pk Titanium";D;H6;2010;2011
58543;"Mondeo 2.0 TDCi 163pk Titanium";D;A6;2010;heden
58555;"Mondeo 2.0 TDCi 163pk S-Edition";D;H6;2010;2011
58555;"Mondeo 2.0 TDCi 163pk S-Edition";D;H6;2010;2011
58554;"Mondeo 2.0 TDCi 163pk S-Edition";D;A6;2010;2011
58549;"Mondeo 2.2 TDCi 200pk Titanium";D;H6;2010;2012
60083;"Mondeo 2.2 TDCi 200pk Titanium";D;A6;2011;2012
60083;"Mondeo 2.2 TDCi 200pk Titanium";D;A6;2011;2012
58556;"Mondeo 2.2 TDCi 200pk S-Edition";D;H6;2010;2011
