id;pikk_mudel;kytus;kaigukast;alates;kuni
7742;"Orion 1.3i CL";B;H5;1992;1993
7743;"Orion 1.4i CL";B;H5;1992;1993
7744;"Orion 1.4i CLX";B;H5;1992;1993
7744;"Orion 1.4i CLX";B;H5;1992;1993
7745;"Orion 1.6i CL";B;H5;1992;1993
7746;"Orion 1.6i CLX";B;H5;1992;1993
7747;"Orion 1.8i CLX";B;H5;1992;1993
7747;"Orion 1.8i CLX";B;H5;1992;1993
8630;"Orion 1.8i Ghia";B;H5;1993;1993
7748;"Orion 1.8 Ghia Si";B;H5;1992;1993
7749;"Orion 1.8 D CL";D;H5;1992;1993
7749;"Orion 1.8 D CL";D;H5;1992;1993
7750;"Orion 1.8 D CLX";D;H5;1992;1993
