id;pikk_mudel;kytus;kaigukast;alates;kuni
56036;"S-MAX 2.0 Trend";B;H5;2010;2010
56039;"S-MAX 2.0 Titanium";B;H5;2010;2011
56037;"S-MAX 2.0 Flexifuel Trend";B;H5;2010;2010
56037;"S-MAX 2.0 Flexifuel Trend";B;H5;2010;2010
56038;"S-MAX 2.0 Flexifuel Titanium";B;H5;2010;2012
63371;"S-MAX 1.6 EcoBoost Trend Business";B;H6;2011;2012
58429;"S-MAX 1.6 EcoBoost Titanium";B;H6;2010;heden
58429;"S-MAX 1.6 EcoBoost Titanium";B;H6;2010;heden
68906;"S-MAX 1.6 EcoBoost Lease Titanium";B;H6;2012;2014
75057;"S-MAX 1.6 EcoBoost Platinum";B;H6;2013;heden
63372;"S-MAX 2.0 EcoBoost 203pk Titanium";B;H6;2011;2014
63372;"S-MAX 2.0 EcoBoost 203pk Titanium";B;H6;2011;2014
56040;"S-MAX 2.0 EcoBoost 203pk Titanium";B;A6;2010;heden
75058;"S-MAX 2.0 EcoBoost 203pk Platinum";B;A6;2013;heden
63373;"S-MAX 2.0 EcoBoost 203pk S-Edition";B;H6;2011;2014
63373;"S-MAX 2.0 EcoBoost 203pk S-Edition";B;H6;2011;2014
56041;"S-MAX 2.0 EcoBoost 203pk S-Edition";B;A6;2010;2014
58430;"S-MAX 2.0 EcoBoost 240pk Titanium";B;A6;2010;2013
63374;"S-MAX 2.0 EcoBoost 240pk S-Edition";B;H6;2011;heden
63374;"S-MAX 2.0 EcoBoost 240pk S-Edition";B;H6;2011;heden
58431;"S-MAX 2.0 EcoBoost 240pk S-Edition";B;A6;2010;heden
63375;"S-MAX 1.6 TDCi 115pk Econetic Trend Business";D;H6;2011;2012
60544;"S-MAX 1.6 TDCi 115pk Econetic Titanium";D;H6;2011;heden
60544;"S-MAX 1.6 TDCi 115pk Econetic Titanium";D;H6;2011;heden
58426;"S-MAX 2.0 TDCi 115pk Titanium";D;H6;2010;2011
56042;"S-MAX 2.0 TDCi 140pk Titanium";D;H6;2010;2013
73957;"S-MAX 2.0 TDCi 140pk Titanium";D;H6;2013;heden
73957;"S-MAX 2.0 TDCi 140pk Titanium";D;H6;2013;heden
56043;"S-MAX 2.0 TDCi 140pk Titanium";D;A6;2010;2014
68907;"S-MAX 2.0 TDCi 140pk Lease Titanium";D;H6;2012;2013
73958;"S-MAX 2.0 TDCi 140pk Lease Titanium";D;H6;2013;2014
73958;"S-MAX 2.0 TDCi 140pk Lease Titanium";D;H6;2013;2014
75059;"S-MAX 2.0 TDCi 140pk Platinum";D;H6;2013;heden
75060;"S-MAX 2.0 TDCi 140pk Platinum";D;A6;2013;heden
56044;"S-MAX 2.0 TDCi 160pk Titanium";D;H6;2010;2013
56044;"S-MAX 2.0 TDCi 160pk Titanium";D;H6;2010;2013
73959;"S-MAX 2.0 TDCi 160pk Titanium";D;H6;2013;2014
56045;"S-MAX 2.0 TDCi 160pk Titanium";D;A6;2010;heden
58424;"S-MAX 2.0 TDCi 160pk S-Edition";D;H6;2010;2013
58424;"S-MAX 2.0 TDCi 160pk S-Edition";D;H6;2010;2013
73960;"S-MAX 2.0 TDCi 160pk S-Edition";D;H6;2013;heden
58425;"S-MAX 2.0 TDCi 160pk S-Edition";D;A6;2010;heden
58427;"S-MAX 2.2 TDCi 200pk Titanium";D;H6;2010;2014
58427;"S-MAX 2.2 TDCi 200pk Titanium";D;H6;2010;2014
60545;"S-MAX 2.2 TDCi 200pk Titanium";D;A6;2011;2014
58428;"S-MAX 2.2 TDCi 200pk S-Edition";D;H6;2010;2014
60546;"S-MAX 2.2 TDCi 200pk S-Edition";D;A6;2011;2014
60546;"S-MAX 2.2 TDCi 200pk S-Edition";D;A6;2011;2014
