id;pikk_mudel;kytus;kaigukast;alates;kuni
7753;"Scorpio 2.0i CLX";B;H5;1992;1994
7754;"Scorpio 2.0i CLX";B;A4;1992;1994
7755;"Scorpio 2.0i GLX";B;H5;1992;1994
7755;"Scorpio 2.0i GLX";B;H5;1992;1994
7756;"Scorpio 2.0i GLX";B;A4;1992;1994
7757;"Scorpio 2.4i CLX";B;H5;1992;1993
7758;"Scorpio 2.4i CLX";B;A4;1992;1993
7758;"Scorpio 2.4i CLX";B;A4;1992;1993
8670;"Scorpio 2.9i CLX";B;H5;1993;1994
8671;"Scorpio 2.9i CLX";B;A4;1993;1994
7759;"Scorpio 2.9i GLX";B;H5;1992;1994
7759;"Scorpio 2.9i GLX";B;H5;1992;1994
7760;"Scorpio 2.9i GLX";B;A4;1992;1994
7761;"Scorpio 2.9i Ghia";B;A4;1992;1994
7762;"Scorpio 2.9i Ghia 4x4";B;H5;1992;1994
7762;"Scorpio 2.9i Ghia 4x4";B;H5;1992;1994
7763;"Scorpio 2.9i Ghia 24V";B;A4;1992;1994
7764;"Scorpio 2.5 TD CLX";D;H5;1992;1993
7765;"Scorpio 2.5 TD GLX";D;H5;1992;1993
7765;"Scorpio 2.5 TD GLX";D;H5;1992;1993
8672;"Scorpio 2.5 TD CLX";D;H5;1993;1994
