id;pikk_mudel;kytus;kaigukast;alates;kuni
6229;"Sierra Stationwagon 1.6 CL";B;H5;1990;1991
6230;"Sierra Stationwagon 1.6i CL";B;H5;1990;1993
6231;"Sierra Stationwagon 2.0 CL";B;H5;1990;1992
6231;"Sierra Stationwagon 2.0 CL";B;H5;1990;1992
6232;"Sierra Stationwagon 2.0i CL";B;H5;1990;1993
6233;"Sierra Stationwagon 2.0i CLX";B;H5;1990;1993
6234;"Sierra Stationwagon 2.0i CLX";B;A4;1990;1993
6234;"Sierra Stationwagon 2.0i CLX";B;A4;1990;1993
6235;"Sierra Stationwagon 2.0i CLX 4x4";B;H5;1990;1993
6236;"Sierra Stationwagon 1.8 TD C";D;H5;1990;1993
6237;"Sierra Stationwagon 1.8 TD CL";D;H5;1990;1993
6237;"Sierra Stationwagon 1.8 TD CL";D;H5;1990;1993
6238;"Sierra Stationwagon 1.8 TD CLX";D;H5;1990;1993
