id;pikk_mudel;kytus;kaigukast;alates;kuni
55480;"Tourneo Connect SWB 1.8 TDCi 90pk Ambiente";D;H5;2010;2011
55484;"Tourneo Connect SWB 1.8 TDCi 90pk Trend";D;H5;2010;2011
55481;"Tourneo Connect LWB 1.8 TDCi 90pk Ambiente";D;H5;2010;2011
55481;"Tourneo Connect LWB 1.8 TDCi 90pk Ambiente";D;H5;2010;2011
55485;"Tourneo Connect LWB 1.8 TDCi 90pk Trend";D;H5;2010;2011
55482;"Tourneo Connect SWB 1.8 TDCi 110pk Ambiente";D;H5;2010;2011
55486;"Tourneo Connect SWB 1.8 TDCi 110pk Trend";D;H5;2010;2011
55486;"Tourneo Connect SWB 1.8 TDCi 110pk Trend";D;H5;2010;2011
55483;"Tourneo Connect LWB 1.8 TDCi 110pk Ambiente";D;H5;2010;2011
55487;"Tourneo Connect LWB 1.8 TDCi 110pk Trend";D;H5;2010;2011
