id;pikk_mudel;kytus;kaigukast;alates;kuni
66276;"Transit Connect T200S 1.8 TDCi 75pk Economy Editio";D;H5;2008;2013
66255;"Transit Connect T200S 1.8 TDCi 75pk Business Editi";D;H5;2008;2013
66257;"Transit Connect T200S 1.8 TDCi 75pk Ambiente";D;H5;2008;2013
66257;"Transit Connect T200S 1.8 TDCi 75pk Ambiente";D;H5;2008;2013
66258;"Transit Connect T200S 1.8 TDCi 75pk Trend";D;H5;2008;2013
66273;"Transit Connect T200S 1.8 TDCi 75pk Limited Editio";D;H5;2008;2013
66259;"Transit Connect T200S 1.8 TDCi 90pk Ambiente";D;H5;2008;2013
66259;"Transit Connect T200S 1.8 TDCi 90pk Ambiente";D;H5;2008;2013
66260;"Transit Connect T200S 1.8 TDCi 90pk Trend";D;H5;2008;2013
66274;"Transit Connect T200S 1.8 TDCi 90pk Limited Editio";D;H5;2008;2013
66262;"Transit Connect T200S 1.8 TDCi 110pk Ambiente";D;H5;2008;2013
66262;"Transit Connect T200S 1.8 TDCi 110pk Ambiente";D;H5;2008;2013
66261;"Transit Connect T200S 1.8 TDCi 110pk Trend";D;H5;2008;2013
66268;"Transit Connect T220S 1.8 TDCi 75pk Ambiente";D;H5;2008;2013
66267;"Transit Connect T220S 1.8 TDCi 75pk Trend";D;H5;2008;2013
66267;"Transit Connect T220S 1.8 TDCi 75pk Trend";D;H5;2008;2013
66266;"Transit Connect T220S 1.8 TDCi 90pk Ambiente";D;H5;2008;2013
66265;"Transit Connect T220S 1.8 TDCi 90pk Trend";D;H5;2008;2013
66264;"Transit Connect T220S 1.8 TDCi 110pk Ambiente";D;H5;2008;2013
66264;"Transit Connect T220S 1.8 TDCi 110pk Ambiente";D;H5;2008;2013
66263;"Transit Connect T220S 1.8 TDCi 110pk Trend";D;H5;2008;2013
66272;"Transit Connect T230L 1.8 TDCi 90pk Ambiente";D;H5;2008;2013
66271;"Transit Connect T230L 1.8 TDCi 90pk Trend";D;H5;2008;2013
66271;"Transit Connect T230L 1.8 TDCi 90pk Trend";D;H5;2008;2013
66275;"Transit Connect T230L 1.8 TDCi 90pk Limited Editio";D;H5;2008;2013
66270;"Transit Connect T230L 1.8 TDCi 110pk Ambiente";D;H5;2008;2013
66269;"Transit Connect T230L 1.8 TDCi 110pk Trend";D;H5;2008;2013
66269;"Transit Connect T230L 1.8 TDCi 110pk Trend";D;H5;2008;2013
