id;pikk_mudel;kytus;kaigukast;alates;kuni
66621;"Transit 260S FWD 2.2 TDCi 100pk Economy Edition";D;H6;2012;heden
66502;"Transit 260S FWD 2.2 TDCi 100pk Business Edition";D;H6;2012;heden
66505;"Transit 260S FWD 2.2 TDCi 100pk Ambiente";D;H6;2012;heden
66505;"Transit 260S FWD 2.2 TDCi 100pk Ambiente";D;H6;2012;heden
66506;"Transit 260S FWD 2.2 TDCi 125pk Ambiente";D;H6;2012;heden
66507;"Transit 260S FWD 2.2 TDCi 140pk Ambiente";D;H6;2012;heden
66508;"Transit 260S FWD 2.2 TDCi 140pk SportVan";D;H6;2012;heden
66508;"Transit 260S FWD 2.2 TDCi 140pk SportVan";D;H6;2012;heden
66512;"Transit 280S FWD 2.2 TDCi 100pk ECOnetic";D;H6;2012;heden
66509;"Transit 280S FWD 2.2 TDCi 100pk Ambiente";D;H6;2012;heden
66510;"Transit 280S FWD 2.2 TDCi 125pk Ambiente";D;H6;2012;heden
66510;"Transit 280S FWD 2.2 TDCi 125pk Ambiente";D;H6;2012;heden
66511;"Transit 280S FWD 2.2 TDCi 140pk Ambiente";D;H6;2012;heden
66515;"Transit 300S FWD 2.2 TDCi 100pk Ambiente";D;H6;2012;heden
66514;"Transit 300S FWD 2.2 TDCi 125pk Ambiente";D;H6;2012;heden
66514;"Transit 300S FWD 2.2 TDCi 125pk Ambiente";D;H6;2012;heden
66513;"Transit 300S FWD 2.2 TDCi 140pk Ambiente";D;H6;2012;heden
66622;"Transit 280M FWD 2.2 TDCi 100pk Economy Edition";D;H6;2012;heden
66518;"Transit 280M FWD 2.2 TDCi 100pk Ambiente";D;H6;2012;heden
66518;"Transit 280M FWD 2.2 TDCi 100pk Ambiente";D;H6;2012;heden
66517;"Transit 280M FWD 2.2 TDCi 125pk Ambiente";D;H6;2012;heden
66516;"Transit 280M FWD 2.2 TDCi 140pk Ambiente";D;H6;2012;heden
66521;"Transit 300M FWD 2.2 TDCi 100pk Ambiente";D;H6;2012;heden
66521;"Transit 300M FWD 2.2 TDCi 100pk Ambiente";D;H6;2012;heden
