id;pikk_mudel;kytus;kaigukast;alates;kuni
1840;"Accord 1.6 Luxe";B;H5;1985;1989
1841;"Accord 2.0 Luxe";B;H5;1985;1988
1842;"Accord 2.0 Luxe";B;A4;1985;1988
1842;"Accord 2.0 Luxe";B;A4;1985;1988
1843;"Accord 2.0 EX";B;H5;1985;1988
1844;"Accord 2.0 EX";B;A4;1985;1988
5182;"Accord 2.0 Luxe";B;H5;1989;1989
5182;"Accord 2.0 Luxe";B;H5;1989;1989
5183;"Accord 2.0 Luxe";B;A4;1989;1989
3649;"Accord 2.0 EX";B;H5;1987;1989
3650;"Accord 2.0 EX";B;A4;1987;1989
3650;"Accord 2.0 EX";B;A4;1987;1989
1845;"Accord 2.0i EX";B;H5;1985;1989
1846;"Accord 2.0i EX";B;A4;1985;1989
3651;"Accord 2.0i EX";B;H5;1987;1989
3651;"Accord 2.0i EX";B;H5;1987;1989
3652;"Accord 2.0i EX";B;A4;1987;1989
3653;"Accord 2.0i 16V-DOHC";B;H5;1987;1989
