id;pikk_mudel;kytus;kaigukast;alates;kuni
61854;"Accord Tourer 2.0 i-VTEC S";B;H6;2011;heden
61856;"Accord Tourer 2.0 i-VTEC Comfort";B;H6;2011;heden
61860;"Accord Tourer 2.0 i-VTEC Elegance";B;H6;2011;heden
61860;"Accord Tourer 2.0 i-VTEC Elegance";B;H6;2011;heden
61859;"Accord Tourer 2.0 i-VTEC Elegance";B;A6;2011;heden
61858;"Accord Tourer 2.0 i-VTEC Lifestyle";B;H6;2011;heden
61857;"Accord Tourer 2.0 i-VTEC Lifestyle";B;A6;2011;heden
61857;"Accord Tourer 2.0 i-VTEC Lifestyle";B;A6;2011;heden
61862;"Accord Tourer 2.0 i-VTEC Executive";B;H6;2011;heden
61861;"Accord Tourer 2.0 i-VTEC Executive";B;A6;2011;heden
61866;"Accord Tourer 2.4 i-VTEC Type S";B;H6;2011;heden
61866;"Accord Tourer 2.4 i-VTEC Type S";B;H6;2011;heden
61865;"Accord Tourer 2.4 i-VTEC Type S";B;A6;2011;heden
61864;"Accord Tourer 2.4 i-VTEC Executive";B;H6;2011;heden
61863;"Accord Tourer 2.4 i-VTEC Executive";B;A6;2011;heden
61863;"Accord Tourer 2.4 i-VTEC Executive";B;A6;2011;heden
61876;"Accord Tourer 2.2 i-DTEC Comfort";D;H6;2011;heden
61875;"Accord Tourer 2.2 i-DTEC Comfort";D;A6;2011;heden
61874;"Accord Tourer 2.2 i-DTEC Elegance";D;H6;2011;heden
61874;"Accord Tourer 2.2 i-DTEC Elegance";D;H6;2011;heden
61873;"Accord Tourer 2.2 i-DTEC Elegance";D;A6;2011;heden
61872;"Accord Tourer 2.2 i-DTEC Lifestyle";D;H6;2011;heden
61871;"Accord Tourer 2.2 i-DTEC Lifestyle";D;A6;2011;heden
61871;"Accord Tourer 2.2 i-DTEC Lifestyle";D;A6;2011;heden
61870;"Accord Tourer 2.2 i-DTEC Executive";D;H6;2011;heden
61869;"Accord Tourer 2.2 i-DTEC Executive";D;A6;2011;heden
61868;"Accord Tourer 2.2 i-DTEC 180 Type S";D;H6;2011;heden
61868;"Accord Tourer 2.2 i-DTEC 180 Type S";D;H6;2011;heden
61867;"Accord Tourer 2.2 i-DTEC 180 Executive";D;H6;2011;heden
