id;pikk_mudel;kytus;kaigukast;alates;kuni
43978;"CR-V 2.0 i-VTEC Comfort";B;H6;2007;2010
43981;"CR-V 2.0 i-VTEC Comfort";B;A5;2007;2010
43983;"CR-V 2.0 i-VTEC Elegance";B;H6;2007;2010
43983;"CR-V 2.0 i-VTEC Elegance";B;H6;2007;2010
43982;"CR-V 2.0 i-VTEC Elegance";B;A5;2007;2010
43985;"CR-V 2.0 i-VTEC Executive";B;H6;2007;2010
43984;"CR-V 2.0 i-VTEC Executive";B;A5;2007;2010
43984;"CR-V 2.0 i-VTEC Executive";B;A5;2007;2010
54114;"CR-V 2.4 i-VTEC Executive";B;A5;2009;2010
43980;"CR-V 2.2 i-CTDi Comfort";D;H6;2007;2010
43987;"CR-V 2.2 i-CTDi Elegance";D;H6;2007;2010
43987;"CR-V 2.2 i-CTDi Elegance";D;H6;2007;2010
43986;"CR-V 2.2 i-CTDi Executive";D;H6;2007;2010
