id;pikk_mudel;kytus;kaigukast;alates;kuni
3633;"Civic 1.3 Luxe";B;H5;1987;1990
3634;"Civic 1.3 Luxe";B;A4;1987;1990
6275;"Civic 1.3 Luxe";B;H5;1990;1991
6275;"Civic 1.3 Luxe";B;H5;1990;1991
3635;"Civic 1.4 GL";B;H5;1987;1989
3636;"Civic 1.4 GL";B;A4;1987;1989
3637;"Civic 1.4 GLX";B;H5;1987;1989
3637;"Civic 1.4 GLX";B;H5;1987;1989
3638;"Civic 1.4 GLX";B;A4;1987;1989
5171;"Civic 1.5i GL";B;H5;1989;1991
5172;"Civic 1.5i GL";B;A4;1989;1991
5172;"Civic 1.5i GL";B;A4;1989;1991
5173;"Civic 1.5i GLX";B;H5;1989;1991
5174;"Civic 1.5i GLX";B;A4;1989;1991
3639;"Civic 1.6i";B;H5;1987;1991
3639;"Civic 1.6i";B;H5;1987;1991
6276;"Civic 1.6i VTEC";B;H5;1990;1991
