id;pikk_mudel;kytus;kaigukast;alates;kuni
63864;"Civic 1.4 S";B;H6;2012;heden
63867;"Civic 1.4 Comfort";B;H6;2012;heden
76009;"Civic 1.4 Comfort Business Edition";B;H6;2014;heden
76009;"Civic 1.4 Comfort Business Edition";B;H6;2014;heden
63868;"Civic 1.4 Sport";B;H6;2012;heden
76012;"Civic 1.4 Sport Business Edition";B;H6;2014;heden
63869;"Civic 1.8 S";B;H6;2012;2014
63869;"Civic 1.8 S";B;H6;2012;2014
63870;"Civic 1.8 S";B;A5;2012;2014
63872;"Civic 1.8 Comfort";B;H6;2012;heden
63871;"Civic 1.8 Comfort";B;A5;2012;heden
63871;"Civic 1.8 Comfort";B;A5;2012;heden
76010;"Civic 1.8 Comfort Business Edition";B;H6;2014;heden
76011;"Civic 1.8 Comfort Business Edition";B;A5;2014;heden
63874;"Civic 1.8 Sport";B;H6;2012;heden
63874;"Civic 1.8 Sport";B;H6;2012;heden
63873;"Civic 1.8 Sport";B;A5;2012;heden
76013;"Civic 1.8 Sport Business Edition";B;H6;2014;heden
76014;"Civic 1.8 Sport Business Edition";B;A5;2014;heden
76014;"Civic 1.8 Sport Business Edition";B;A5;2014;heden
76008;"Civic 1.8 Lifestyle";B;H6;2014;heden
63876;"Civic 1.8 Executive";B;H6;2012;heden
63875;"Civic 1.8 Executive";B;A5;2012;heden
63875;"Civic 1.8 Executive";B;A5;2012;heden
72495;"Civic 1.6 i-DTEC S";D;H6;2013;heden
72496;"Civic 1.6 i-DTEC Comfort";D;H6;2013;heden
72497;"Civic 1.6 i-DTEC Comfort Business Edition";D;H6;2013;heden
72497;"Civic 1.6 i-DTEC Comfort Business Edition";D;H6;2013;heden
72498;"Civic 1.6 i-DTEC Sport";D;H6;2013;heden
76015;"Civic 1.6 i-DTEC Sport Business Edition";D;H6;2014;heden
72499;"Civic 1.6 i-DTEC Lifestyle";D;H6;2013;heden
72499;"Civic 1.6 i-DTEC Lifestyle";D;H6;2013;heden
76007;"Civic 1.6 i-DTEC Executive";D;H6;2014;heden
63877;"Civic 2.2 i-DTEC S";D;H6;2012;2012
63878;"Civic 2.2 i-DTEC Comfort";D;H6;2012;2014
63878;"Civic 2.2 i-DTEC Comfort";D;H6;2012;2014
68931;"Civic 2.2 i-DTEC Comfort Business Mode";D;H6;2012;2013
72494;"Civic 2.2 i-DTEC Comfort Business Edition";D;H6;2013;2014
63879;"Civic 2.2 i-DTEC Sport";D;H6;2012;2014
63879;"Civic 2.2 i-DTEC Sport";D;H6;2012;2014
68932;"Civic 2.2 i-DTEC Sport Business Mode";D;H6;2012;2013
63880;"Civic 2.2 i-DTEC Executive";D;H6;2012;2012
68933;"Civic 2.2 i-DTEC Executive Business Mode";D;H6;2012;2013
68933;"Civic 2.2 i-DTEC Executive Business Mode";D;H6;2012;2013
