id;pikk_mudel;kytus;kaigukast;alates;kuni
34345;"Jazz 1.2i S";B;H5;2004;2008
34348;"Jazz 1.2i Cool";B;H5;2004;2008
48019;"Jazz 1.2i Style Mode";B;H5;2008;2008
48019;"Jazz 1.2i Style Mode";B;H5;2008;2008
48020;"Jazz 1.4i Style Mode";B;H5;2008;2008
48021;"Jazz 1.4i Style Mode";B;A1;2008;2008
34354;"Jazz 1.4i LS";B;H5;2004;2008
34354;"Jazz 1.4i LS";B;H5;2004;2008
34353;"Jazz 1.4i LS";B;A1;2004;2008
34352;"Jazz 1.4i ES";B;H5;2004;2008
34351;"Jazz 1.4i ES";B;A1;2004;2008
34351;"Jazz 1.4i ES";B;A1;2004;2008
34350;"Jazz 1.4i ES Sport";B;H5;2004;2008
34349;"Jazz 1.4i ES Sport";B;A1;2004;2008
