id;pikk_mudel;kytus;kaigukast;alates;kuni
28222;"Accent 1.3i GL";B;H5;2003;2004
28268;"Accent 1.3i GL";B;A4;2003;2004
33740;"Accent 1.3i ActiveVersion";B;H5;2004;2006
33740;"Accent 1.3i ActiveVersion";B;H5;2004;2006
33739;"Accent 1.3i ActiveVersion";B;A4;2004;2005
36833;"Accent 1.6i ActiveVersion";B;H5;2005;2005
28224;"Accent 1.6i GLS";B;H5;2003;2004
28224;"Accent 1.6i GLS";B;H5;2003;2004
28269;"Accent 1.6i GLS";B;A4;2003;2004
33742;"Accent 1.6i DynamicVersion";B;H5;2004;2005
33741;"Accent 1.6i DynamicVersion";B;A4;2004;2005
33741;"Accent 1.6i DynamicVersion";B;A4;2004;2005
