id;pikk_mudel;kytus;kaigukast;alates;kuni
26647;"Getz 1.1i GL";B;H5;2002;2004
33352;"Getz 1.1i ActiveVersion";B;H5;2004;2005
26650;"Getz 1.3i GL";B;H5;2002;2004
26650;"Getz 1.3i GL";B;H5;2002;2004
33354;"Getz 1.3i ActiveVersion";B;H5;2004;2005
26653;"Getz 1.3i GLS";B;H5;2002;2004
26651;"Getz 1.3i GLS";B;A4;2002;2004
26651;"Getz 1.3i GLS";B;A4;2002;2004
33357;"Getz 1.3i DynamicVersion";B;H5;2004;2005
33356;"Getz 1.3i DynamicVersion";B;A4;2004;2005
26652;"Getz 1.6i GLS";B;H5;2002;2004
26652;"Getz 1.6i GLS";B;H5;2002;2004
26660;"Getz 1.6i GLS";B;A4;2002;2003
33360;"Getz 1.6i DynamicVersion";B;H5;2004;2005
29999;"Getz 1.5 CRDi GLS";D;H5;2003;2004
29999;"Getz 1.5 CRDi GLS";D;H5;2003;2004
33362;"Getz 1.5 CRDi DynamicVersion";D;H5;2004;2005
