id;pikk_mudel;kytus;kaigukast;alates;kuni
14480;"Lantra 1.5i GL";B;H5;1997;1998
11353;"Lantra 1.6i GL";B;H5;1995;1998
11354;"Lantra 1.6i GL-A1";B;H5;1995;1997
11354;"Lantra 1.6i GL-A1";B;H5;1995;1997
11355;"Lantra 1.6i GL-A1";B;A4;1995;1997
11356;"Lantra 1.6i GLS";B;H5;1995;1998
14481;"Lantra 1.6i GLS";B;A4;1997;1998
14481;"Lantra 1.6i GLS";B;A4;1997;1998
11357;"Lantra 1.8i GLS";B;H5;1995;1997
11358;"Lantra 1.8i GLS";B;A4;1995;1997
11359;"Lantra 1.8i GLS-A3";B;H5;1995;1997
11359;"Lantra 1.8i GLS-A3";B;H5;1995;1997
11360;"Lantra 1.8i GLS-A4";B;H5;1995;1997
14482;"Lantra 2.0i GLS";B;H5;1997;1998
16571;"Lantra 1.9 D GL";D;H5;1998;1998
16571;"Lantra 1.9 D GL";D;H5;1998;1998
16572;"Lantra 1.9 D GLS";D;H5;1998;1998
