id;pikk_mudel;kytus;kaigukast;alates;kuni
2648;"Pony 1.3 LE";B;H4;1986;1987
2649;"Pony 1.3 L";B;H4;1986;1987
2650;"Pony 1.3 GL";B;H4;1986;1987
2650;"Pony 1.3 GL";B;H4;1986;1987
2651;"Pony 1.3 GLS";B;H4;1986;1987
2652;"Pony 1.5 GL";B;H5;1986;1987
2653;"Pony 1.5 GLS";B;H5;1986;1987
2653;"Pony 1.5 GLS";B;H5;1986;1987
2654;"Pony 1.5 GLS";B;A3;1986;1987
3683;"Pony 1.5 LE";B;H4;1987;1989
3684;"Pony 1.5 L";B;H4;1987;1989
3684;"Pony 1.5 L";B;H4;1987;1989
3685;"Pony 1.5 GL";B;H4;1987;1989
3686;"Pony 1.5 GLS";B;H5;1987;1989
3687;"Pony 1.5 GLS";B;A3;1987;1989
3687;"Pony 1.5 GLS";B;A3;1987;1989
