id;pikk_mudel;kytus;kaigukast;alates;kuni
69510;"Santa Fe 2.4 GDI CVVT 2WD i-Motion";B;H6;2012;heden
69519;"Santa Fe 2.4 GDI CVVT 2WD i-Vision";B;H6;2012;heden
69931;"Santa Fe 2.4 GDI CVVT 2WD Business Edition";B;H6;2012;heden
69931;"Santa Fe 2.4 GDI CVVT 2WD Business Edition";B;H6;2012;heden
69526;"Santa Fe 2.4 GDI CVVT 2WD i-Catcher";B;H6;2012;heden
69513;"Santa Fe 2.4 GDI CVVT 4WD i-Motion";B;H6;2012;2013
69514;"Santa Fe 2.4 GDI CVVT 4WD i-Motion";B;A6;2012;2013
69514;"Santa Fe 2.4 GDI CVVT 4WD i-Motion";B;A6;2012;2013
69520;"Santa Fe 2.4 GDI CVVT 4WD i-Vision";B;H6;2012;heden
69521;"Santa Fe 2.4 GDI CVVT 4WD i-Vision";B;A6;2012;heden
73625;"Santa Fe 2.4 GDI CVVT 4WD Business Edition";B;H6;2013;heden
73625;"Santa Fe 2.4 GDI CVVT 4WD Business Edition";B;H6;2013;heden
69932;"Santa Fe 2.4 GDI CVVT 4WD Business Edition";B;A6;2012;heden
69527;"Santa Fe 2.4 GDI CVVT 4WD i-Catcher";B;H6;2012;heden
69528;"Santa Fe 2.4 GDI CVVT 4WD i-Catcher";B;A6;2012;heden
69528;"Santa Fe 2.4 GDI CVVT 4WD i-Catcher";B;A6;2012;heden
69515;"Santa Fe 2.2 CRDi R 2WD i-Motion";D;H6;2012;heden
69516;"Santa Fe 2.2 CRDi R 2WD i-Motion";D;A6;2012;2013
69522;"Santa Fe 2.2 CRDi R 2WD i-Vision";D;H6;2012;heden
69522;"Santa Fe 2.2 CRDi R 2WD i-Vision";D;H6;2012;heden
69523;"Santa Fe 2.2 CRDi R 2WD i-Vision";D;A6;2012;heden
69933;"Santa Fe 2.2 CRDi R 2WD Business Edition";D;H6;2012;heden
69934;"Santa Fe 2.2 CRDi R 2WD Business Edition";D;A6;2012;heden
69934;"Santa Fe 2.2 CRDi R 2WD Business Edition";D;A6;2012;heden
69529;"Santa Fe 2.2 CRDi R 2WD i-Catcher";D;H6;2012;heden
69530;"Santa Fe 2.2 CRDi R 2WD i-Catcher";D;A6;2012;heden
69518;"Santa Fe 2.2 CRDi R 4WD i-Motion";D;H6;2012;2013
69518;"Santa Fe 2.2 CRDi R 4WD i-Motion";D;H6;2012;2013
69517;"Santa Fe 2.2 CRDi R 4WD i-Motion";D;A6;2012;2013
69524;"Santa Fe 2.2 CRDi R 4WD i-Vision";D;H6;2012;heden
69525;"Santa Fe 2.2 CRDi R 4WD i-Vision";D;A6;2012;heden
69525;"Santa Fe 2.2 CRDi R 4WD i-Vision";D;A6;2012;heden
73626;"Santa Fe 2.2 CRDi R 4WD Business Edition";D;H6;2013;heden
73627;"Santa Fe 2.2 CRDi R 4WD Business Edition";D;A6;2013;heden
69531;"Santa Fe 2.2 CRDi R 4WD i-Catcher";D;H6;2012;heden
69531;"Santa Fe 2.2 CRDi R 4WD i-Catcher";D;H6;2012;heden
69532;"Santa Fe 2.2 CRDi R 4WD i-Catcher";D;A6;2012;heden
