id;pikk_mudel;kytus;kaigukast;alates;kuni
8730;"Sonata 1.8i GL";B;H5;1993;1996
8731;"Sonata 2.0i GL";B;H5;1993;1996
11367;"Sonata 2.0i GL";B;A4;1995;1996
11367;"Sonata 2.0i GL";B;A4;1995;1996
8732;"Sonata 2.0i GLS";B;H5;1993;1996
8733;"Sonata 2.0i GLS 16V";B;H5;1993;1996
8734;"Sonata 2.0i GLS-A1 16V";B;H5;1993;1996
8734;"Sonata 2.0i GLS-A1 16V";B;H5;1993;1996
8735;"Sonata 2.0i GLS 16V";B;A4;1993;1996
9932;"Sonata 3.0i GLS";B;A4;1994;1996
9933;"Sonata 3.0i GLS-A1";B;A4;1994;1996
9933;"Sonata 3.0i GLS-A1";B;A4;1994;1996
9934;"Sonata 3.0i GLS-A2";B;A4;1994;1996
9935;"Sonata 3.0i GLS-A3";B;A4;1994;1996
