id;pikk_mudel;kytus;kaigukast;alates;kuni
58442;"i30 1.4i CVVT Blue i-Drive";B;H5;2010;2012
58444;"i30 1.4i CVVT Blue i-Motion";B;H5;2010;2012
59920;"i30 1.6i CVVT Blue i-Drive";B;H5;2011;2012
59920;"i30 1.6i CVVT Blue i-Drive";B;H5;2011;2012
59921;"i30 1.6i CVVT Blue i-Drive";B;A4;2011;2012
58445;"i30 1.6i CVVT Blue i-Motion";B;H5;2010;2012
58450;"i30 1.6i CVVT Blue i-Motion";B;A4;2010;2012
58450;"i30 1.6i CVVT Blue i-Motion";B;A4;2010;2012
58446;"i30 1.6i CVVT Blue i-Catcher";B;H5;2010;2012
58451;"i30 1.6i CVVT Blue i-Catcher";B;A4;2010;2012
58447;"i30 1.6 CRDi VGT i-Drive";D;H6;2010;2012
58447;"i30 1.6 CRDi VGT i-Drive";D;H6;2010;2012
58452;"i30 1.6 CRDi VGT i-Drive";D;A4;2010;2012
58448;"i30 1.6 CRDi VGT i-Motion";D;H6;2010;2012
58453;"i30 1.6 CRDi VGT i-Motion";D;A4;2010;2012
58453;"i30 1.6 CRDi VGT i-Motion";D;A4;2010;2012
58449;"i30 1.6 CRDi VGT i-Catcher";D;H6;2010;2012
58454;"i30 1.6 CRDi VGT i-Catcher";D;A4;2010;2012
