id;pikk_mudel;kytus;kaigukast;alates;kuni
65556;"i30 1.6 GDI i-Drive";B;H6;2012;heden
65562;"i30 1.6 GDI i-Motion";B;H6;2012;heden
65559;"i30 1.6 GDI i-Motion";B;A6;2012;heden
65559;"i30 1.6 GDI i-Motion";B;A6;2012;heden
68548;"i30 1.6 GDI Business Edition";B;H6;2012;heden
68549;"i30 1.6 GDI Business Edition";B;A6;2012;heden
65565;"i30 1.6 GDI i-Vision";B;H6;2012;heden
65565;"i30 1.6 GDI i-Vision";B;H6;2012;heden
65564;"i30 1.6 GDI i-Vision";B;A6;2012;heden
65569;"i30 1.6 GDI i-Catcher";B;H6;2012;heden
65568;"i30 1.6 GDI i-Catcher";B;A6;2012;heden
65568;"i30 1.6 GDI i-Catcher";B;A6;2012;heden
65560;"i30 1.6 CRDi i-Drive";D;H6;2012;heden
65563;"i30 1.6 CRDi i-Motion";D;H6;2012;heden
65561;"i30 1.6 CRDi i-Motion";D;A6;2012;2014
65561;"i30 1.6 CRDi i-Motion";D;A6;2012;2014
68550;"i30 1.6 CRDi Business Edition";D;H6;2012;heden
68551;"i30 1.6 CRDi Business Edition";D;A6;2012;heden
65567;"i30 1.6 CRDi i-Vision";D;H6;2012;heden
65567;"i30 1.6 CRDi i-Vision";D;H6;2012;heden
65566;"i30 1.6 CRDi i-Vision";D;A6;2012;2014
65571;"i30 1.6 CRDi i-Catcher";D;H6;2012;heden
65570;"i30 1.6 CRDi i-Catcher";D;A6;2012;2014
65570;"i30 1.6 CRDi i-Catcher";D;A6;2012;2014
