id;pikk_mudel;kytus;kaigukast;alates;kuni
32138;"S-Type 2.5 V6";B;H5;2004;2005
32140;"S-Type 2.5 V6";B;A6;2004;2005
32144;"S-Type 2.5 V6 Sport";B;H5;2004;2005
32144;"S-Type 2.5 V6 Sport";B;H5;2004;2005
32143;"S-Type 2.5 V6 Sport";B;A6;2004;2005
32142;"S-Type 2.5 V6 Executive";B;H5;2004;2005
32141;"S-Type 2.5 V6 Executive";B;A6;2004;2005
32141;"S-Type 2.5 V6 Executive";B;A6;2004;2005
40307;"S-Type 3.0 V6";B;H5;2005;2007
40308;"S-Type 3.0 V6";B;A6;2005;2007
45017;"S-Type 3.0 V6 iDition";B;A6;2007;2007
45017;"S-Type 3.0 V6 iDition";B;A6;2007;2007
32148;"S-Type 3.0 V6 Sport";B;H5;2004;2005
32147;"S-Type 3.0 V6 Sport";B;A6;2004;2005
32146;"S-Type 3.0 V6 Executive";B;H5;2004;2005
32146;"S-Type 3.0 V6 Executive";B;H5;2004;2005
32145;"S-Type 3.0 V6 Executive";B;A6;2004;2007
45777;"S-Type 3.0 V6 Palladium";B;A6;2007;2007
32151;"S-Type 4.2 V8 Sport";B;A6;2004;2005
32151;"S-Type 4.2 V8 Sport";B;A6;2004;2005
32150;"S-Type 4.2 V8 Executive";B;A6;2004;2007
32149;"S-Type 4.2 V8 S/C R";B;A6;2004;2007
32158;"S-Type 2.7D";D;H6;2004;2007
32158;"S-Type 2.7D";D;H6;2004;2007
32157;"S-Type 2.7D";D;A6;2004;2007
45015;"S-Type 2.7D iDition";D;H6;2007;2007
45016;"S-Type 2.7D iDition";D;A6;2007;2007
45016;"S-Type 2.7D iDition";D;A6;2007;2007
32156;"S-Type 2.7D Sport";D;H6;2004;2005
32155;"S-Type 2.7D Sport";D;A6;2004;2005
32154;"S-Type 2.7D Executive";D;H6;2004;2007
32154;"S-Type 2.7D Executive";D;H6;2004;2007
32153;"S-Type 2.7D Executive";D;A6;2004;2007
45778;"S-Type 2.7D Palladium";D;A6;2007;2007
