id;pikk_mudel;kytus;kaigukast;alates;kuni
48577;"X-Type 2.5 V6";B;H5;2008;2009
48579;"X-Type 2.5 V6";B;A5;2008;2010
48582;"X-Type 2.5 V6 Executive";B;H5;2008;2009
48582;"X-Type 2.5 V6 Executive";B;H5;2008;2009
48581;"X-Type 2.5 V6 Executive";B;A5;2008;2010
48586;"X-Type 3.0 V6 Executive";B;H5;2008;2009
48585;"X-Type 3.0 V6 Executive";B;A5;2008;2010
48585;"X-Type 3.0 V6 Executive";B;A5;2008;2010
48592;"X-Type 2.2D";D;H6;2008;2010
48591;"X-Type 2.2D";D;A6;2008;2010
53562;"X-Type 2.2D iDITION";D;H6;2009;2010
53562;"X-Type 2.2D iDITION";D;H6;2009;2010
53563;"X-Type 2.2D iDITION";D;A6;2009;2010
48590;"X-Type 2.2D Executive";D;H6;2008;2010
48589;"X-Type 2.2D Executive";D;A6;2008;2010
48589;"X-Type 2.2D Executive";D;A6;2008;2010
