id;pikk_mudel;kytus;kaigukast;alates;kuni
69553;"XF 2.0 SC";B;A8;2012;heden
69554;"XF 2.0 SC Business Edition";B;A8;2012;2013
69568;"XF 2.0 SC Sport Business Edition";B;A8;2012;2013
69568;"XF 2.0 SC Sport Business Edition";B;A8;2012;2013
69551;"XF 3.0 V6 SC";B;A8;2012;heden
69555;"XF 3.0 V6 SC Business Edition";B;A8;2012;2013
69569;"XF 3.0 V6 SC Sport Business Edition";B;A8;2012;2013
69569;"XF 3.0 V6 SC Sport Business Edition";B;A8;2012;2013
69570;"XF 3.0 V6 SC Premium Business Edition";B;A8;2012;2013
70883;"XF 3.0 V6 SC AWD";B;A8;2013;heden
70884;"XF 3.0 V6 SC AWD Business Edition";B;A8;2013;2013
70884;"XF 3.0 V6 SC AWD Business Edition";B;A8;2013;2013
70885;"XF 3.0 V6 SC AWD Sport Business Edition";B;A8;2013;2013
70886;"XF 3.0 V6 SC AWD Premium Business Edition";B;A8;2013;2013
61970;"XF 5.0 V8";B;A6;2011;2012
61970;"XF 5.0 V8";B;A6;2011;2012
61974;"XFR 5.0 V8 Supercharged";B;A6;2011;2012
69552;"XFR 5.0 V8 SC";B;A8;2012;heden
75479;"XFR-S 5.0 V8 SC";B;A8;2013;heden
75479;"XFR-S 5.0 V8 SC";B;A8;2013;heden
68531;"XF 2.2D LE";D;A8;2012;2012
61973;"XF 2.2D";D;A8;2011;2012
68532;"XF 2.2D Business Edition";D;A8;2012;2012
68532;"XF 2.2D Business Edition";D;A8;2012;2012
68533;"XF 2.2D Sport Business Edition";D;A8;2012;2012
69547;"XF 2.2D";D;A8;2012;heden
69556;"XF 2.2D Business Edition";D;A8;2012;2013
69556;"XF 2.2D Business Edition";D;A8;2012;2013
69560;"XF 2.2D Sport Business Edition";D;A8;2012;2013
69561;"XF 2.2D Premium Business Edition";D;A8;2012;2013
69548;"XF 2.2D S";D;A8;2012;heden
69548;"XF 2.2D S";D;A8;2012;heden
69557;"XF 2.2D S Business Edition";D;A8;2012;2013
69562;"XF 2.2D S Sport Business Edition";D;A8;2012;2013
69563;"XF 2.2D S Premium Business Edition";D;A8;2012;2013
69563;"XF 2.2D S Premium Business Edition";D;A8;2012;2013
61975;"XF 3.0D V6";D;A8;2011;2012
69549;"XF 3.0D V6";D;A8;2012;heden
69558;"XF 3.0D V6 Business Edition";D;A8;2012;2013
69558;"XF 3.0D V6 Business Edition";D;A8;2012;2013
69564;"XF 3.0D V6 Sport Business Edition";D;A8;2012;2013
69565;"XF 3.0D V6 Premium Business Edition";D;A8;2012;2013
61972;"XF 3.0D V6 S";D;A8;2011;2012
61972;"XF 3.0D V6 S";D;A8;2011;2012
69550;"XF 3.0D V6 S";D;A8;2012;heden
69559;"XF 3.0D V6 S Business Edition";D;A8;2012;2013
69566;"XF 3.0D V6 S Sport Business Edition";D;A8;2012;2013
69566;"XF 3.0D V6 S Sport Business Edition";D;A8;2012;2013
69567;"XF 3.0D V6 S Premium Business Edition";D;A8;2012;2013
