id;pikk_mudel;kytus;kaigukast;alates;kuni
46179;"XJ6 3.0";B;A6;2007;2009
46181;"XJ8 3.5";B;A6;2007;2009
46182;"XJ8 3.5 LWB";B;A6;2007;2009
46182;"XJ8 3.5 LWB";B;A6;2007;2009
46184;"XJ8 4.2";B;A6;2007;2009
46185;"XJ8 4.2 LWB";B;A6;2007;2009
51947;"XJ8 4.2 Portfolio";B;A6;2009;2009
51947;"XJ8 4.2 Portfolio";B;A6;2009;2009
51948;"XJ8 4.2 Portfolio LWB";B;A6;2009;2009
46186;"XJ8 4.2 Sovereign";B;A6;2007;2009
46187;"XJ8 4.2 Sovereign LWB";B;A6;2007;2009
46187;"XJ8 4.2 Sovereign LWB";B;A6;2007;2009
46190;"XJR 4.2 S/C";B;A6;2007;2009
46180;"XJ6 2.7D";D;A6;2007;2009
46183;"XJ6 2.7D LWB";D;A6;2007;2009
46183;"XJ6 2.7D LWB";D;A6;2007;2009
51945;"XJ6 2.7D Portfolio";D;A6;2009;2009
51946;"XJ6 2.7D Portfolio LWB";D;A6;2009;2009
46188;"XJ6 2.7D Sovereign";D;A6;2007;2009
46188;"XJ6 2.7D Sovereign";D;A6;2007;2009
46189;"XJ6 2.7D Sovereign LWB";D;A6;2007;2009
