id;pikk_mudel;kytus;kaigukast;alates;kuni
35243;"Cherokee 2.4i Sport";B;H6;2005;2006
35248;"Cherokee 3.7i V6 Sport";B;A4;2005;2008
35247;"Cherokee 3.7i V6 Renegade";B;A4;2005;2006
35247;"Cherokee 3.7i V6 Renegade";B;A4;2005;2006
35246;"Cherokee 3.7i V6 Limited";B;A4;2005;2008
35245;"Cherokee 2.8 CRD Sport";D;H6;2005;2008
35249;"Cherokee 2.8 CRD Sport";D;A5;2005;2008
35249;"Cherokee 2.8 CRD Sport";D;A5;2005;2008
35250;"Cherokee 2.8 CRD Renegade";D;A5;2005;2006
35252;"Cherokee 2.8 CRD Limited";D;H6;2005;2008
35251;"Cherokee 2.8 CRD Limited";D;A5;2005;2008
35251;"Cherokee 2.8 CRD Limited";D;A5;2005;2008
