id;pikk_mudel;kytus;kaigukast;alates;kuni
74195;"Compass 2.0 Sport 2WD";B;H5;2013;heden
74202;"Compass 2.0 North Business Edition 2WD";B;H5;2013;heden
76307;"Compass 2.0 Limited 2WD";B;A1;2014;heden
76307;"Compass 2.0 Limited 2WD";B;A1;2014;heden
74197;"Compass 2.0 Limited 2WD";B;A6;2013;heden
74198;"Compass 2.4 Limited 4WD";B;A6;2013;heden
74199;"Compass 2.2 CRD Sport 2WD";D;H6;2013;heden
74199;"Compass 2.2 CRD Sport 2WD";D;H6;2013;heden
74200;"Compass 2.2 CRD Limited 2WD";D;H6;2013;heden
74201;"Compass 2.2 CRD Limited 4WD";D;H6;2013;heden
