id;pikk_mudel;kytus;kaigukast;alates;kuni
43953;"Grand Cherokee 3.7 V6 Laredo";B;A5;2006;2008
36680;"Grand Cherokee 4.7 V8 Laredo";B;A5;2005;2008
36683;"Grand Cherokee 4.7 V8 Limited";B;A5;2005;2008
36683;"Grand Cherokee 4.7 V8 Limited";B;A5;2005;2008
36684;"Grand Cherokee 5.7 HEMI V8 Limited";B;A5;2005;2008
43090;"Grand Cherokee 5.7 HEMI V8 Overland";B;A5;2006;2008
43262;"Grand Cherokee 6.1 HEMI V8 SRT-8";B;A5;2006;2008
43262;"Grand Cherokee 6.1 HEMI V8 SRT-8";B;A5;2006;2008
36685;"Grand Cherokee 3.0 CRD Laredo";D;A5;2005;2008
36686;"Grand Cherokee 3.0 CRD Limited";D;A5;2005;2008
43091;"Grand Cherokee 3.0 CRD Overland";D;A5;2006;2008
43091;"Grand Cherokee 3.0 CRD Overland";D;A5;2006;2008
