id;pikk_mudel;kytus;kaigukast;alates;kuni
56479;"Patriot 2.4 Sport Liberty";B;H5;2010;2011
46275;"Patriot 2.4 Sport";B;H5;2007;2011
56480;"Patriot 2.4 Limited Liberty";B;H5;2010;2011
56480;"Patriot 2.4 Limited Liberty";B;H5;2010;2011
52209;"Patriot 2.4 Limited Liberty";B;A1;2009;2011
46278;"Patriot 2.4 Limited";B;H5;2007;2011
46277;"Patriot 2.4 Limited";B;A1;2007;2011
46277;"Patriot 2.4 Limited";B;A1;2007;2011
46280;"Patriot 2.0 CRD Sport";D;H6;2007;2010
46279;"Patriot 2.0 CRD Limited";D;H6;2007;2010
58021;"Patriot 2.1 CRD Sport";D;H6;2010;2011
58021;"Patriot 2.1 CRD Sport";D;H6;2010;2011
58022;"Patriot 2.1 CRD Limited";D;H6;2010;2011
