id;pikk_mudel;kytus;kaigukast;alates;kuni
55532;"Carens 1.6 CVVT X-tra";B;H5;2009;2011
44688;"Carens 2.0 CVVT X-pect";B;H5;2007;2010
43804;"Carens 2.0 CVVT X-tra";B;H5;2006;2010
43804;"Carens 2.0 CVVT X-tra";B;H5;2006;2010
43810;"Carens 2.0 CVVT X-ecutive";B;H5;2006;2011
43807;"Carens 2.0 CVVT X-ecutive";B;A4;2006;2011
43812;"Carens 2.0 CVVT X-clusive";B;H5;2006;2010
43812;"Carens 2.0 CVVT X-clusive";B;H5;2006;2010
43813;"Carens 2.0 CVVT X-clusive";B;A4;2006;2010
43808;"Carens 2.0 CRDi X-tra";D;H6;2006;2010
43811;"Carens 2.0 CRDi X-ecutive";D;H6;2006;2010
43811;"Carens 2.0 CRDi X-ecutive";D;H6;2006;2010
43809;"Carens 2.0 CRDi X-ecutive";D;A4;2006;2010
43814;"Carens 2.0 CRDi X-clusive";D;H6;2006;2010
43815;"Carens 2.0 CRDi X-clusive";D;A4;2006;2010
43815;"Carens 2.0 CRDi X-clusive";D;A4;2006;2010
