id;pikk_mudel;kytus;kaigukast;alates;kuni
42536;"Carnival 2.7 V6 LX";B;H5;2006;2007
45554;"Carnival 2.7 V6 X-tra";B;H5;2007;2008
42537;"Carnival 2.7 V6 EX";B;H5;2006;2007
42537;"Carnival 2.7 V6 EX";B;H5;2006;2007
42538;"Carnival 2.7 V6 EX";B;A4;2006;2007
45556;"Carnival 2.7 V6 X-ecutive";B;H5;2007;2008
45557;"Carnival 2.7 V6 X-ecutive";B;A4;2007;2008
45557;"Carnival 2.7 V6 X-ecutive";B;A4;2007;2008
42540;"Carnival 2.7 V6 EX Luxe";B;H5;2006;2007
42539;"Carnival 2.7 V6 EX Luxe";B;A4;2006;2007
45560;"Carnival 2.7 V6 X-clusive";B;H5;2007;2008
45560;"Carnival 2.7 V6 X-clusive";B;H5;2007;2008
45561;"Carnival 2.7 V6 X-clusive";B;A4;2007;2008
42529;"Carnival 2.9 CRDi VGT LX";D;H5;2006;2007
45555;"Carnival 2.9 CRDi VGT X-tra";D;H5;2007;2008
45555;"Carnival 2.9 CRDi VGT X-tra";D;H5;2007;2008
42532;"Carnival 2.9 CRDi VGT EX";D;H5;2006;2007
42533;"Carnival 2.9 CRDi VGT EX";D;A5;2006;2007
45558;"Carnival 2.9 CRDi VGT X-ecutive";D;H5;2007;2008
45558;"Carnival 2.9 CRDi VGT X-ecutive";D;H5;2007;2008
45559;"Carnival 2.9 CRDi VGT X-ecutive";D;A5;2007;2008
42535;"Carnival 2.9 CRDi VGT EX Luxe";D;H5;2006;2007
42534;"Carnival 2.9 CRDi VGT EX Luxe";D;A5;2006;2007
42534;"Carnival 2.9 CRDi VGT EX Luxe";D;A5;2006;2007
45562;"Carnival 2.9 CRDi VGT X-clusive";D;H5;2007;2008
45563;"Carnival 2.9 CRDi VGT X-clusive";D;A5;2007;2008
