id;pikk_mudel;kytus;kaigukast;alates;kuni
44089;"Ceed 1.4 CVVT X-pect";B;H5;2007;2009
44097;"Ceed 1.4 CVVT X-tra";B;H5;2007;2009
51724;"Ceed 1.4 CVVT Fifteen";B;H5;2009;2009
51724;"Ceed 1.4 CVVT Fifteen";B;H5;2009;2009
44098;"Ceed 1.4 CVVT X-ecutive";B;H5;2007;2009
51733;"Ceed 1.4 CVVT ISG X-pect";B;H5;2009;2009
51734;"Ceed 1.4 CVVT ISG X-tra";B;H5;2009;2009
51734;"Ceed 1.4 CVVT ISG X-tra";B;H5;2009;2009
51735;"Ceed 1.4 CVVT ISG Fifteen";B;H5;2009;2009
51736;"Ceed 1.4 CVVT ISG X-ecutive";B;H5;2009;2009
44092;"Ceed 1.6 CVVT X-tra";B;H5;2007;2009
44092;"Ceed 1.6 CVVT X-tra";B;H5;2007;2009
51725;"Ceed 1.6 CVVT Fifteen";B;H5;2009;2009
44099;"Ceed 1.6 CVVT X-ecutive";B;H5;2007;2009
44093;"Ceed 1.6 CVVT X-ecutive";B;A4;2007;2009
44093;"Ceed 1.6 CVVT X-ecutive";B;A4;2007;2009
44100;"Ceed 1.6 CVVT X-clusive";B;H5;2007;2009
44101;"Ceed 1.6 CVVT X-clusive";B;A4;2007;2009
44094;"Ceed 2.0 CVVT X-ecutive";B;H5;2007;2009
44094;"Ceed 2.0 CVVT X-ecutive";B;H5;2007;2009
44095;"Ceed 2.0 CVVT X-ecutive";B;A4;2007;2009
44102;"Ceed 2.0 CVVT X-clusive";B;H5;2007;2009
44103;"Ceed 2.0 CVVT X-clusive";B;A4;2007;2009
44103;"Ceed 2.0 CVVT X-clusive";B;A4;2007;2009
51728;"Ceed 1.6 CRDi 90 X-pect";D;H5;2009;2009
51729;"Ceed 1.6 CRDi 90 X-tra";D;H5;2009;2009
51730;"Ceed 1.6 CRDi 90 Fifteen";D;H5;2009;2009
51730;"Ceed 1.6 CRDi 90 Fifteen";D;H5;2009;2009
51731;"Ceed 1.6 CRDi 90 X-ecutive";D;H5;2009;2009
51732;"Ceed 1.6 CRDi 90 X-clusive";D;H5;2009;2009
51726;"Ceed 1.6 CRDi 115 X-pect";D;H5;2009;2009
51726;"Ceed 1.6 CRDi 115 X-pect";D;H5;2009;2009
44096;"Ceed 1.6 CRDi 115 X-tra";D;H5;2007;2009
51727;"Ceed 1.6 CRDi 115 Fifteen";D;H5;2009;2009
44104;"Ceed 1.6 CRDi 115 X-ecutive";D;H5;2007;2009
44104;"Ceed 1.6 CRDi 115 X-ecutive";D;H5;2007;2009
48903;"Ceed 1.6 CRDi 115 X-ecutive";D;A4;2008;2009
47437;"Ceed 1.6 CRDi 115 Business Edition";D;H5;2007;2009
48901;"Ceed 1.6 CRDi 115 Business Edition";D;A4;2008;2009
48901;"Ceed 1.6 CRDi 115 Business Edition";D;A4;2008;2009
44105;"Ceed 1.6 CRDi 115 X-clusive";D;H5;2007;2009
48902;"Ceed 1.6 CRDi 115 X-clusive";D;A4;2008;2009
46589;"Ceed 2.0 CRDi X-ecutive";D;H6;2007;2009
46589;"Ceed 2.0 CRDi X-ecutive";D;H6;2007;2009
46588;"Ceed 2.0 CRDi X-clusive";D;H6;2007;2009
