id;pikk_mudel;kytus;kaigukast;alates;kuni
69451;"Ceed SW 1.6 GDI";B;H6;2012;heden
69453;"Ceed SW 1.6 GDI Comfort Pack";B;H6;2012;heden
69913;"Ceed SW 1.6 GDI Comfort Pack";B;A6;2012;2014
69913;"Ceed SW 1.6 GDI Comfort Pack";B;A6;2012;2014
69455;"Ceed SW 1.6 GDI Business Pack";B;H6;2012;heden
69454;"Ceed SW 1.6 GDI Business Pack";B;A6;2012;2014
69459;"Ceed SW 1.6 GDI Super Pack";B;H6;2012;2014
69459;"Ceed SW 1.6 GDI Super Pack";B;H6;2012;2014
69458;"Ceed SW 1.6 GDI Super Pack";B;A6;2012;2014
69457;"Ceed SW 1.6 GDI Premium Pack";B;H6;2012;2014
69456;"Ceed SW 1.6 GDI Premium Pack";B;A6;2012;2014
69456;"Ceed SW 1.6 GDI Premium Pack";B;A6;2012;2014
69461;"Ceed SW 1.6 CRDi";D;H6;2012;2014
69460;"Ceed SW 1.6 CRDi Comfort Pack";D;H6;2012;2014
69463;"Ceed SW 1.6 CRDi Business Pack";D;H6;2012;heden
69463;"Ceed SW 1.6 CRDi Business Pack";D;H6;2012;heden
69462;"Ceed SW 1.6 CRDi Business Pack";D;A6;2012;2014
69467;"Ceed SW 1.6 CRDi Super Pack";D;H6;2012;2014
69466;"Ceed SW 1.6 CRDi Super Pack";D;A6;2012;2014
69466;"Ceed SW 1.6 CRDi Super Pack";D;A6;2012;2014
69465;"Ceed SW 1.6 CRDi Premium Pack";D;H6;2012;2014
69464;"Ceed SW 1.6 CRDi Premium Pack";D;A6;2012;2014
