id;pikk_mudel;kytus;kaigukast;alates;kuni
32473;"Cerato 1.6 LX";B;H5;2004;2007
36478;"Cerato 1.6 X-treme";B;H5;2005;2006
32476;"Cerato 2.0 CVVT EX";B;H5;2004;2007
32476;"Cerato 2.0 CVVT EX";B;H5;2004;2007
32479;"Cerato 2.0 CVVT EX";B;A4;2004;2007
33737;"Cerato 1.5 CRDi LX";D;H5;2005;2005
40651;"Cerato 1.6 CRDi VGT LX";D;H5;2006;2007
40651;"Cerato 1.6 CRDi VGT LX";D;H5;2006;2007
40652;"Cerato 1.6 CRDi VGT EX";D;H5;2006;2007
32477;"Cerato 2.0 CRDi LX";D;H5;2004;2005
32478;"Cerato 2.0 CRDi EX";D;H5;2004;2005
32478;"Cerato 2.0 CRDi EX";D;H5;2004;2005
