id;pikk_mudel;kytus;kaigukast;alates;kuni
41524;"Magentis 2.0 CVVT EX";B;H5;2006;2007
41527;"Magentis 2.0 CVVT EX";B;A4;2006;2007
45564;"Magentis 2.0 CVVT X-ecutive";B;H5;2007;2008
45564;"Magentis 2.0 CVVT X-ecutive";B;H5;2007;2008
45565;"Magentis 2.0 CVVT X-ecutive";B;A4;2007;2008
41528;"Magentis 2.7 V6 EX Luxe";B;A5;2006;2007
45566;"Magentis 2.7 V6 X-clusive";B;A5;2007;2008
45566;"Magentis 2.7 V6 X-clusive";B;A5;2007;2008
41529;"Magentis 2.0 CRDi VGT EX";D;H6;2006;2007
41530;"Magentis 2.0 CRDi VGT EX";D;A4;2006;2007
45567;"Magentis 2.0 CRDi VGT X-ecutive";D;H6;2007;2008
45567;"Magentis 2.0 CRDi VGT X-ecutive";D;H6;2007;2008
45568;"Magentis 2.0 CRDi VGT X-ecutive";D;A4;2007;2008
