id;pikk_mudel;kytus;kaigukast;alates;kuni
23174;"Rio 1.3 Profit";B;H5;2001;2003
23175;"Rio 1.3 XS";B;H5;2001;2002
20908;"Rio 1.3 RS";B;H5;2000;2003
20908;"Rio 1.3 RS";B;H5;2000;2003
23176;"Rio 1.3 GS";B;H5;2001;2002
20909;"Rio 1.3 LS";B;H5;2000;2002
23177;"Rio 1.5 XS";B;H5;2001;2002
23177;"Rio 1.5 XS";B;H5;2001;2002
20910;"Rio 1.5 RS";B;H5;2000;2002
23178;"Rio 1.5 GS";B;H5;2001;2002
23179;"Rio 1.5 GS";B;A4;2001;2002
23179;"Rio 1.5 GS";B;A4;2001;2002
20911;"Rio 1.5 LS";B;H5;2000;2003
20912;"Rio 1.5 LS";B;A4;2000;2002
