id;pikk_mudel;kytus;kaigukast;alates;kuni
70441;"Sorento 2.4 GDI Plus Pack";B;H6;2012;2014
70443;"Sorento 2.4 GDI Plus Pack";B;A6;2012;2014
76267;"Sorento 2.4 GDI BusinessLine";B;H6;2014;heden
76267;"Sorento 2.4 GDI BusinessLine";B;H6;2014;heden
76268;"Sorento 2.4 GDI BusinessLine";B;A6;2014;heden
70445;"Sorento 2.4 GDI Super Pack";B;A6;2012;2014
76269;"Sorento 2.4 GDi ExecutiveLine";B;A6;2014;heden
76269;"Sorento 2.4 GDi ExecutiveLine";B;A6;2014;heden
70444;"Sorento 2.4 GDI 4WD Super Pack";B;A6;2012;2014
76270;"Sorento 2.4 GDI 4WD ExecutiveLine";B;A6;2014;heden
70449;"Sorento 2.2 CRDi Plus Pack";D;H6;2012;2014
70449;"Sorento 2.2 CRDi Plus Pack";D;H6;2012;2014
70448;"Sorento 2.2 CRDi Plus Pack";D;A6;2012;2014
76271;"Sorento 2.2 CRDi BusinessLine";D;H6;2014;heden
76272;"Sorento 2.2 CRDi BusinessLine";D;A6;2014;heden
76272;"Sorento 2.2 CRDi BusinessLine";D;A6;2014;heden
70447;"Sorento 2.2 CRDi Super Pack";D;A6;2012;2014
76273;"Sorento 2.2 CRDi ExecutiveLine";D;A6;2014;heden
70446;"Sorento 2.2 CRDi 4WD Super Pack";D;A6;2012;2014
70446;"Sorento 2.2 CRDi 4WD Super Pack";D;A6;2012;2014
76274;"Sorento 2.2 CRDi 4WD ExecutiveLine";D;A6;2014;heden
