id;pikk_mudel;kytus;kaigukast;alates;kuni
51765;"Soul 1.6 CVVT X";B;H5;2009;2012
51768;"Soul 1.6 CVVT X-pect Cool";B;H5;2009;2012
51769;"Soul 1.6 CVVT X-tra";B;H5;2009;2012
51769;"Soul 1.6 CVVT X-tra";B;H5;2009;2012
51770;"Soul 1.6 CVVT X-ecutive";B;H5;2009;2012
51771;"Soul 1.6 CRDi X-pect Cool";D;H5;2009;2012
51774;"Soul 1.6 CRDi X-pect Cool";D;A4;2009;2012
51774;"Soul 1.6 CRDi X-pect Cool";D;A4;2009;2012
51772;"Soul 1.6 CRDi X-tra";D;H5;2009;2012
51775;"Soul 1.6 CRDi X-tra";D;A4;2009;2012
51773;"Soul 1.6 CRDi X-ecutive";D;H5;2009;2012
51773;"Soul 1.6 CRDi X-ecutive";D;H5;2009;2012
51776;"Soul 1.6 CRDi X-ecutive";D;A4;2009;2012
