id;pikk_mudel;kytus;kaigukast;alates;kuni
50346;"Sportage 2.0 CVVT 2WD X-pect Cool";B;H5;2008;2010
50348;"Sportage 2.0 CVVT 2WD X-tra";B;H5;2008;2010
50349;"Sportage 2.0 CVVT 2WD X-ecutive";B;H5;2008;2010
50349;"Sportage 2.0 CVVT 2WD X-ecutive";B;H5;2008;2010
54226;"Sportage 2.0 CVVT 2WD Fifteen";B;H5;2009;2010
50350;"Sportage 2.0 CVVT 2WD X-clusive";B;H5;2008;2010
50360;"Sportage 2.0 CVVT 4WD X-pect Cool";B;H5;2008;2010
50360;"Sportage 2.0 CVVT 4WD X-pect Cool";B;H5;2008;2010
50361;"Sportage 2.0 CVVT 4WD X-tra";B;H5;2008;2010
50362;"Sportage 2.0 CVVT 4WD X-ecutive";B;H5;2008;2010
54230;"Sportage 2.0 CVVT 4WD Fifteen";B;H5;2009;2010
54230;"Sportage 2.0 CVVT 4WD Fifteen";B;H5;2009;2010
50363;"Sportage 2.0 CVVT 4WD X-clusive";B;H5;2008;2010
50351;"Sportage 2.7 V6 4WD X-ecutive";B;A4;2008;2010
54227;"Sportage 2.7 V6 4WD Fifteen";B;A4;2009;2010
54227;"Sportage 2.7 V6 4WD Fifteen";B;A4;2009;2010
50352;"Sportage 2.7 V6 4WD X-clusive";B;A4;2008;2010
50353;"Sportage 2.0 CRDi VGT 2WD X-pect Cool";D;H6;2008;2010
50354;"Sportage 2.0 CRDi VGT 2WD X-tra";D;H6;2008;2010
50354;"Sportage 2.0 CRDi VGT 2WD X-tra";D;H6;2008;2010
50355;"Sportage 2.0 CRDi VGT 2WD X-ecutive";D;H6;2008;2010
50356;"Sportage 2.0 CRDi VGT 2WD X-ecutive";D;A4;2008;2010
54228;"Sportage 2.0 CRDi VGT 2WD Fifteen";D;H6;2009;2010
54228;"Sportage 2.0 CRDi VGT 2WD Fifteen";D;H6;2009;2010
54229;"Sportage 2.0 CRDi VGT 2WD Fifteen";D;A4;2009;2010
50358;"Sportage 2.0 CRDi VGT 2WD X-clusive";D;H6;2008;2010
50357;"Sportage 2.0 CRDi VGT 2WD X-clusive";D;A4;2008;2010
50357;"Sportage 2.0 CRDi VGT 2WD X-clusive";D;A4;2008;2010
50364;"Sportage 2.0 CRDi VGT 4WD X-pect Cool";D;H6;2008;2010
50365;"Sportage 2.0 CRDi VGT 4WD X-tra";D;H6;2008;2010
50366;"Sportage 2.0 CRDi VGT 4WD X-ecutive";D;H6;2008;2010
50366;"Sportage 2.0 CRDi VGT 4WD X-ecutive";D;H6;2008;2010
54231;"Sportage 2.0 CRDi VGT 4WD Fifteen";D;H6;2009;2010
50367;"Sportage 2.0 CRDi VGT 4WD X-clusive";D;H6;2008;2010
