id;pikk_mudel;kytus;kaigukast;alates;kuni
76250;"Sportage 1.6 GDI EconomyLine";B;H6;2014;heden
76252;"Sportage 1.6 GDI ComfortLine";B;H6;2014;heden
76253;"Sportage 1.6 GDI BusinessLine";B;H6;2014;heden
76253;"Sportage 1.6 GDI BusinessLine";B;H6;2014;heden
76254;"Sportage 1.6 GDI BusinessPlusLine";B;H6;2014;heden
76255;"Sportage 1.6 GDI ExecutiveLine";B;H6;2014;heden
76256;"Sportage 2.0 GDI BusinessLine";B;H6;2014;heden
76256;"Sportage 2.0 GDI BusinessLine";B;H6;2014;heden
76257;"Sportage 2.0 GDI BusinessPlusLine";B;H6;2014;heden
76258;"Sportage 2.0 GDI BusinessPlusLine";B;A6;2014;heden
76260;"Sportage 2.0 GDI ExecutiveLine";B;H6;2014;heden
76260;"Sportage 2.0 GDI ExecutiveLine";B;H6;2014;heden
76259;"Sportage 2.0 GDI ExecutiveLine";B;A6;2014;heden
76261;"Sportage 2.0 GDI 4WD ExecutiveLine";B;A6;2014;heden
76262;"Sportage 1.7 CRDi BusinessLine";D;H6;2014;heden
76262;"Sportage 1.7 CRDi BusinessLine";D;H6;2014;heden
76263;"Sportage 1.7 CRDi BusinessPlusLine";D;H6;2014;heden
76264;"Sportage 1.7 CRDi ExecutiveLine";D;H6;2014;heden
76265;"Sportage 2.0 CRDi HP 4WD ExecutiveLine";D;A6;2014;heden
76265;"Sportage 2.0 CRDi HP 4WD ExecutiveLine";D;A6;2014;heden
