id;pikk_mudel;kytus;kaigukast;alates;kuni
54811;"Venga 1.4 CVVT X-pect";B;H5;2009;2012
54819;"Venga 1.4 CVVT X-tra";B;H5;2009;2012
54821;"Venga 1.4 CVVT X-ecutive";B;H5;2009;2012
54821;"Venga 1.4 CVVT X-ecutive";B;H5;2009;2012
64358;"Venga 1.4 CVVT X-pect";B;H5;2012;2012
69293;"Venga 1.4 CVVT Base";B;H5;2012;heden
64359;"Venga 1.4 CVVT X-tra";B;H5;2012;2012
64359;"Venga 1.4 CVVT X-tra";B;H5;2012;2012
69294;"Venga 1.4 CVVT Comfort Pack";B;H5;2012;2014
69296;"Venga 1.4 CVVT Plus Pack";B;H5;2012;heden
64360;"Venga 1.4 CVVT X-ecutive";B;H5;2012;2012
64360;"Venga 1.4 CVVT X-ecutive";B;H5;2012;2012
69295;"Venga 1.4 CVVT Super Pack";B;H5;2012;2014
54814;"Venga 1.6 CVVT X-tra";B;H5;2009;2012
54815;"Venga 1.6 CVVT X-tra";B;A4;2009;2012
54815;"Venga 1.6 CVVT X-tra";B;A4;2009;2012
54823;"Venga 1.6 CVVT X-ecutive";B;H5;2009;2012
54822;"Venga 1.6 CVVT X-ecutive";B;A4;2009;2012
64361;"Venga 1.6 CVVT X-tra";B;H6;2012;2012
64361;"Venga 1.6 CVVT X-tra";B;H6;2012;2012
64362;"Venga 1.6 CVVT X-tra";B;A4;2012;2012
69297;"Venga 1.6 CVVT Comfort Pack";B;H6;2012;2014
75217;"Venga 1.6 CVVT Comfort Pack";B;A4;2013;2014
75217;"Venga 1.6 CVVT Comfort Pack";B;A4;2013;2014
69298;"Venga 1.6 CVVT Plus Pack";B;H6;2012;heden
69299;"Venga 1.6 CVVT Plus Pack";B;A4;2012;heden
64363;"Venga 1.6 CVVT X-ecutive";B;H6;2012;2012
64363;"Venga 1.6 CVVT X-ecutive";B;H6;2012;2012
64364;"Venga 1.6 CVVT X-ecutive";B;A4;2012;2012
69300;"Venga 1.6 CVVT Super Pack";B;H6;2012;2014
69301;"Venga 1.6 CVVT Super Pack";B;A4;2012;2014
69301;"Venga 1.6 CVVT Super Pack";B;A4;2012;2014
54816;"Venga 1.4 CRDi 75 X-pect";D;H5;2009;2012
54820;"Venga 1.4 CRDi 75 X-tra";D;H5;2009;2012
54824;"Venga 1.4 CRDi 75 X-ecutive";D;H5;2009;2012
54824;"Venga 1.4 CRDi 75 X-ecutive";D;H5;2009;2012
64365;"Venga 1.4 CRDi 77 X-pect";D;H5;2012;2012
69302;"Venga 1.4 CRDi 77 Base";D;H5;2012;2014
64366;"Venga 1.4 CRDi 77 X-tra";D;H5;2012;2012
64366;"Venga 1.4 CRDi 77 X-tra";D;H5;2012;2012
69303;"Venga 1.4 CRDi 77 Comfort Pack";D;H5;2012;2014
69304;"Venga 1.4 CRDi 77 Plus Pack";D;H5;2012;2014
64367;"Venga 1.4 CRDi 77 X-ecutive";D;H5;2012;2012
64367;"Venga 1.4 CRDi 77 X-ecutive";D;H5;2012;2012
69305;"Venga 1.4 CRDi 77 Super Pack";D;H5;2012;2014
54817;"Venga 1.4 CRDi 90 X-tra";D;H6;2009;2012
54825;"Venga 1.4 CRDi 90 X-ecutive";D;H6;2009;2012
54825;"Venga 1.4 CRDi 90 X-ecutive";D;H6;2009;2012
64368;"Venga 1.4 CRDi 90 X-tra";D;H6;2012;2012
69306;"Venga 1.4 CRDi 90 Comfort Pack";D;H6;2012;2014
69307;"Venga 1.4 CRDi 90 Plus Pack";D;H6;2012;2014
69307;"Venga 1.4 CRDi 90 Plus Pack";D;H6;2012;2014
64369;"Venga 1.4 CRDi 90 X-ecutive";D;H6;2012;2012
69308;"Venga 1.4 CRDi 90 Super Pack";D;H6;2012;2014
54818;"Venga 1.6 CRDi X-tra";D;H6;2009;2012
54818;"Venga 1.6 CRDi X-tra";D;H6;2009;2012
54826;"Venga 1.6 CRDi X-ecutive";D;H6;2009;2012
64370;"Venga 1.6 CRDi X-tra";D;H6;2012;2012
69309;"Venga 1.6 CRDi Plus Pack";D;H6;2012;2014
69309;"Venga 1.6 CRDi Plus Pack";D;H6;2012;2014
64371;"Venga 1.6 CRDi X-ecutive";D;H6;2012;2012
69310;"Venga 1.6 CRDi Super Pack";D;H6;2012;2014
