id;pikk_mudel;kytus;kaigukast;alates;kuni
6307;"Dedra 1.6 i.e.";B;H5;1990;1994
6308;"Dedra 1.8 i.e.";B;H5;1990;1994
8779;"Dedra 1.8 i.e. LE";B;H5;1993;1994
8779;"Dedra 1.8 i.e. LE";B;H5;1993;1994
6309;"Dedra 2.0 i.e.";B;H5;1990;1994
7817;"Dedra 2.0 i.e.";B;A4;1992;1994
8780;"Dedra 2.0 i.e. LS";B;H5;1993;1994
8780;"Dedra 2.0 i.e. LS";B;H5;1993;1994
7112;"Dedra HF Turbo";B;H5;1991;1994
7113;"Dedra HF Integrale";B;H5;1991;1994
6310;"Dedra Turbo DS";D;H5;1990;1994
6310;"Dedra Turbo DS";D;H5;1990;1994
8781;"Dedra Turbo DS LE";D;H5;1993;1994
