id;pikk_mudel;kytus;kaigukast;alates;kuni
18397;"Lybra SW 1.6 16v";B;H5;1999;2001
18398;"Lybra SW 1.8 16v";B;H5;1999;2001
18399;"Lybra SW 1.8 16v LX";B;H5;1999;2001
18399;"Lybra SW 1.8 16v LX";B;H5;1999;2001
18400;"Lybra SW 2.0 20v LX";B;H5;1999;2001
18401;"Lybra SW 2.0 20v Comfortronic LX";B;A4;1999;2001
18402;"Lybra SW 1.9 JTD";D;H5;1999;2001
18402;"Lybra SW 1.9 JTD";D;H5;1999;2001
18403;"Lybra SW 1.9 JTD LX";D;H5;1999;2001
23204;"Lybra SW 1.9 JTD";D;H5;2001;2001
23205;"Lybra SW 1.9 JTD LX";D;H5;2001;2001
23205;"Lybra SW 1.9 JTD LX";D;H5;2001;2001
18404;"Lybra SW 2.4 JTD LX";D;H5;1999;2001
