id;pikk_mudel;kytus;kaigukast;alates;kuni
34122;"Phedra 2.0 16v";B;H5;2004;2005
34820;"Phedra 2.0 16v";B;A4;2005;2005
26436;"Phedra 2.0 16v Executive";B;H5;2002;2005
26436;"Phedra 2.0 16v Executive";B;H5;2002;2005
26789;"Phedra 2.0 16v Executive";B;A4;2003;2005
26442;"Phedra 2.0 16v Emblema";B;H5;2002;2005
26790;"Phedra 2.0 16v Emblema";B;A4;2003;2005
26790;"Phedra 2.0 16v Emblema";B;A4;2003;2005
26441;"Phedra 3.0 V6 24v Executive";B;A4;2002;2006
26443;"Phedra 3.0 V6 24v Emblema";B;A4;2002;2006
34123;"Phedra 2.0 JTD 16v";D;H5;2004;2006
34123;"Phedra 2.0 JTD 16v";D;H5;2004;2006
34821;"Phedra 2.0 JTD 16v";D;A4;2005;2006
26439;"Phedra 2.0 JTD 16v Executive";D;H5;2002;2006
26791;"Phedra 2.0 JTD 16v Executive";D;A4;2003;2006
26791;"Phedra 2.0 JTD 16v Executive";D;A4;2003;2006
26444;"Phedra 2.0 JTD 16v Emblema";D;H5;2002;2006
26792;"Phedra 2.0 JTD 16v Emblema";D;A4;2003;2006
42858;"Phedra 2.0 Multijet 16v 120pk";D;H6;2006;2008
42858;"Phedra 2.0 Multijet 16v 120pk";D;H6;2006;2008
42859;"Phedra 2.0 Multijet 16v 120pk";D;A4;2006;2007
42860;"Phedra 2.0 Multijet 16v 120pk Executive";D;H6;2006;2008
42861;"Phedra 2.0 Multijet 16v 120pk Executive";D;A4;2006;2007
42861;"Phedra 2.0 Multijet 16v 120pk Executive";D;A4;2006;2007
42862;"Phedra 2.0 Multijet 16v 120pk Emblema";D;H6;2006;2008
42863;"Phedra 2.0 Multijet 16v 120pk Emblema";D;A4;2006;2007
42864;"Phedra 2.0 Multijet 16v 136pk";D;H6;2006;2008
42864;"Phedra 2.0 Multijet 16v 136pk";D;H6;2006;2008
42865;"Phedra 2.0 Multijet 16v 136pk Executive";D;H6;2006;2008
42866;"Phedra 2.0 Multijet 16v 136pk Emblema";D;H6;2006;2008
26440;"Phedra 2.2 JTD 16v Executive";D;H5;2002;2004
26440;"Phedra 2.2 JTD 16v Executive";D;H5;2002;2004
26445;"Phedra 2.2 JTD 16v Emblema";D;H5;2002;2004
34822;"Phedra 2.2 JTD 16v";D;H6;2005;2006
32539;"Phedra 2.2 JTD 16v Executive";D;H6;2004;2006
32539;"Phedra 2.2 JTD 16v Executive";D;H6;2004;2006
32538;"Phedra 2.2 JTD 16v Emblema";D;H6;2004;2006
