id;pikk_mudel;kytus;kaigukast;alates;kuni
1878;"Thema 2.0 i.e.";B;H5;1985;1988
1879;"Thema 2.0 i.e.";B;A4;1985;1988
3709;"Thema 2.0 i.e.";B;H5;1987;1989
3709;"Thema 2.0 i.e.";B;H5;1987;1989
3710;"Thema 2.0 i.e.";B;A4;1987;1989
1880;"Thema 2.0 i.e. Turbo";B;H5;1985;1988
4438;"Thema 2.0 i.e. Turbo";B;H5;1988;1989
4438;"Thema 2.0 i.e. Turbo";B;H5;1988;1989
1881;"Thema V6";B;H5;1985;1989
1882;"Thema V6";B;A4;1985;1989
3711;"Thema 8.32";B;H5;1987;1989
3711;"Thema 8.32";B;H5;1987;1989
1883;"Thema Turbo D";D;H5;1985;1989
