id;pikk_mudel;kytus;kaigukast;alates;kuni
67594;"Voyager 3.6 V6 Pentastar Silver";B;A6;2012;heden
63472;"Voyager 3.6 V6 Pentastar Gold";B;A6;2011;2013
67595;"Voyager 3.6 V6 Pentastar Platinum";B;A6;2012;2013
67595;"Voyager 3.6 V6 Pentastar Platinum";B;A6;2012;2013
67596;"Voyager 2.8 Multijet Silver";D;A6;2012;2013
63475;"Voyager 2.8 Multijet Gold";D;A6;2011;2013
67597;"Voyager 2.8 Multijet Platinum";D;A6;2012;2013
67597;"Voyager 2.8 Multijet Platinum";D;A6;2012;2013
74831;"Voyager 2.8 Multijet Silver";D;A6;2013;heden
74832;"Voyager 2.8 Multijet Gold";D;A6;2013;heden
74833;"Voyager 2.8 Multijet Platinum";D;A6;2013;heden
74833;"Voyager 2.8 Multijet Platinum";D;A6;2013;heden
