id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
2435;Discovery;"3-deurs suv";1990;1994;357;Discovery;19643
2436;Discovery;"5-deurs suv";1990;1994;357;Discovery;19646
2437;Discovery;"3-deurs suv";1994;1999;357;Discovery;20761
2438;Discovery;"5-deurs suv";1994;1999;357;Discovery;20763
2439;Discovery;"5-deurs suv";1999;2002;357;Discovery;22925
2440;Discovery;"5-deurs suv";2002;2004;357;Discovery;25149
2441;Discovery;"5-deurs suv";2004;2009;357;Discovery;27362
3171;Discovery;"5-deurs suv";2009;2013;357;Discovery;68662
4051;Discovery;"5-deurs suv";2013;heden;357;Discovery;155205
3793;"Discovery Commercial";"5-deurs bestelwagen";2009;heden;357;Discovery;68662
