id;pikk_mudel;kytus;kaigukast;alates;kuni
9980;"Discovery V8i Leisure";B;H5;1994;1996
9981;"Discovery V8i Leisure";B;A4;1994;1996
9982;"Discovery V8i Estate";B;H5;1994;1996
9982;"Discovery V8i Estate";B;H5;1994;1996
9983;"Discovery V8i Estate";B;A4;1994;1996
12859;"Discovery V8i S";B;H5;1996;1999
12860;"Discovery V8i S";B;A4;1996;1999
12860;"Discovery V8i S";B;A4;1996;1999
12861;"Discovery V8i XS";B;H5;1996;1999
12862;"Discovery V8i XS";B;A4;1996;1999
9984;"Discovery V8i ES";B;H5;1994;1996
9984;"Discovery V8i ES";B;H5;1994;1996
9985;"Discovery V8i ES";B;A4;1994;1996
9986;"Discovery 300 Tdi Leisure";D;H5;1994;1996
9987;"Discovery 300 Tdi Leisure";D;A4;1994;1996
9987;"Discovery 300 Tdi Leisure";D;A4;1994;1996
12863;"Discovery 300 Tdi Leisure";D;A4;1996;1996
9988;"Discovery 300 Tdi Estate";D;H5;1994;1996
9989;"Discovery 300 Tdi Estate";D;A4;1994;1996
9989;"Discovery 300 Tdi Estate";D;A4;1994;1996
12864;"Discovery 300 Tdi Estate";D;A4;1996;1996
12865;"Discovery 300 Tdi S";D;H5;1996;1999
12866;"Discovery 300 Tdi S";D;A4;1996;1999
12866;"Discovery 300 Tdi S";D;A4;1996;1999
12867;"Discovery 300 Tdi XS";D;H5;1996;1999
12868;"Discovery 300 Tdi XS";D;A4;1996;1999
9990;"Discovery 300 Tdi ES";D;H5;1994;1996
9990;"Discovery 300 Tdi ES";D;H5;1994;1996
9991;"Discovery 300 Tdi ES";D;A4;1994;1996
12869;"Discovery 300 Tdi ES";D;A4;1996;1996
