id;pikk_mudel;kytus;kaigukast;alates;kuni
67657;"Discovery Commercial 5.0 V8 HSE";B;A6;2011;heden
71487;"Discovery Commercial TDV6 3.0 E";D;A6;2013;heden
67664;"Discovery Commercial TDV6 3.0 S";D;A6;2010;heden
67664;"Discovery Commercial TDV6 3.0 S";D;A6;2010;heden
67663;"Discovery Commercial TDV6 3.0 SE";D;A6;2010;heden
67662;"Discovery Commercial TDV6 3.0 HSE";D;A6;2010;heden
67661;"Discovery Commercial SDV6 3.0 S";D;A6;2010;heden
67661;"Discovery Commercial SDV6 3.0 S";D;A6;2010;heden
67660;"Discovery Commercial SDV6 3.0 SE";D;A6;2010;heden
67659;"Discovery Commercial SDV6 3.0 HSE";D;A6;2010;heden
