id;pikk_mudel;kytus;kaigukast;alates;kuni
75553;"Range Rover Evoque 2.0 Si4 4WD Pure";B;A9;2013;heden
75556;"Range Rover Evoque 2.0 Si4 4WD Prestige";B;A9;2013;heden
75555;"Range Rover Evoque 2.0 Si4 4WD Dynamic";B;A9;2013;heden
75555;"Range Rover Evoque 2.0 Si4 4WD Dynamic";B;A9;2013;heden
75564;"Range Rover Evoque 2.2 eD4 2WD Pure";D;H6;2013;heden
75563;"Range Rover Evoque 2.2 eD4 2WD Prestige";D;H6;2013;heden
75562;"Range Rover Evoque 2.2 eD4 2WD Dynamic";D;H6;2013;heden
75562;"Range Rover Evoque 2.2 eD4 2WD Dynamic";D;H6;2013;heden
75572;"Range Rover Evoque 2.2 TD4 4WD Pure";D;H6;2013;heden
75571;"Range Rover Evoque 2.2 TD4 4WD Pure";D;A9;2013;heden
75570;"Range Rover Evoque 2.2 TD4 4WD Prestige";D;H6;2013;heden
75570;"Range Rover Evoque 2.2 TD4 4WD Prestige";D;H6;2013;heden
75569;"Range Rover Evoque 2.2 TD4 4WD Prestige";D;A9;2013;heden
75568;"Range Rover Evoque 2.2 TD4 4WD Dynamic";D;H6;2013;heden
75567;"Range Rover Evoque 2.2 TD4 4WD Dynamic";D;A9;2013;heden
75567;"Range Rover Evoque 2.2 TD4 4WD Dynamic";D;A9;2013;heden
75584;"Range Rover Evoque 2.2 SD4 4WD Pure";D;H6;2013;heden
75583;"Range Rover Evoque 2.2 SD4 4WD Pure";D;A9;2013;heden
75582;"Range Rover Evoque 2.2 SD4 4WD Prestige";D;H6;2013;heden
75582;"Range Rover Evoque 2.2 SD4 4WD Prestige";D;H6;2013;heden
75581;"Range Rover Evoque 2.2 SD4 4WD Prestige";D;A9;2013;heden
75580;"Range Rover Evoque 2.2 SD4 4WD Dynamic";D;H6;2013;heden
75579;"Range Rover Evoque 2.2 SD4 4WD Dynamic";D;A9;2013;heden
75579;"Range Rover Evoque 2.2 SD4 4WD Dynamic";D;A9;2013;heden
