id;pikk_mudel;kytus;kaigukast;alates;kuni
73018;"Range Rover Sport 5.0 V8 Supercharged HSE Dynamic";B;A8;2013;heden
73019;"Range Rover Sport 5.0 V8 Supercharged Autobiograph";B;A8;2013;heden
73007;"Range Rover Sport 3.0 TDV6 S";D;A8;2013;heden
73007;"Range Rover Sport 3.0 TDV6 S";D;A8;2013;heden
73010;"Range Rover Sport 3.0 TDV6 SE";D;A8;2013;heden
73011;"Range Rover Sport 3.0 TDV6 HSE";D;A8;2013;heden
73012;"Range Rover Sport 3.0 TDV6 HSE Dynamic";D;A8;2013;heden
73012;"Range Rover Sport 3.0 TDV6 HSE Dynamic";D;A8;2013;heden
73013;"Range Rover Sport 3.0 SDV6 SE";D;A8;2013;heden
73014;"Range Rover Sport 3.0 SDV6 HSE";D;A8;2013;heden
73015;"Range Rover Sport 3.0 SDV6 HSE Dynamic";D;A8;2013;heden
73015;"Range Rover Sport 3.0 SDV6 HSE Dynamic";D;A8;2013;heden
73016;"Range Rover Sport 3.0 SDV6 Autobiography";D;A8;2013;heden
73017;"Range Rover Sport 3.0 SDV6 Autobiography Dynamic";D;A8;2013;heden
76070;"Range Rover Sport 3.0 SDV6 Hybrid Autobiography";D;A8;2014;heden
76070;"Range Rover Sport 3.0 SDV6 Hybrid Autobiography";D;A8;2014;heden
76071;"Range Rover Sport 3.0 SDV6 Hybrid Autobiography Dy";D;A8;2014;heden
76072;"Range Rover Sport 4.4 SDV8 HSE";D;A8;2014;heden
76073;"Range Rover Sport 4.4 SDV8 HSE Dynamic";D;A8;2014;heden
76073;"Range Rover Sport 4.4 SDV8 HSE Dynamic";D;A8;2014;heden
76074;"Range Rover Sport 4.4 SDV8 Autobiography";D;A8;2014;heden
76075;"Range Rover Sport 4.4 SDV8 Autobiography Dynamic";D;A8;2014;heden
