id;pikk_mudel;kytus;kaigukast;alates;kuni
9996;"Range Rover 4.0";B;H5;1994;1998
9997;"Range Rover 4.0";B;A4;1994;1998
9998;"Range Rover 4.0 SE";B;H5;1994;1998
9998;"Range Rover 4.0 SE";B;H5;1994;1998
9999;"Range Rover 4.0 SE";B;A4;1994;1998
16651;"Range Rover 4.0";B;A4;1998;2002
16652;"Range Rover 4.0 SE";B;A4;1998;2002
16652;"Range Rover 4.0 SE";B;A4;1998;2002
10000;"Range Rover 4.6 HSE";B;A4;1994;1998
16653;"Range Rover 4.6 HSE";B;A4;1998;2002
20975;"Range Rover 4.6 Vogue";B;A4;2000;2002
20975;"Range Rover 4.6 Vogue";B;A4;2000;2002
10001;"Range Rover 2.5 DT";D;H5;1994;2002
11433;"Range Rover 2.5 DT";D;A4;1995;2002
10002;"Range Rover 2.5 DSE";D;H5;1994;2002
10002;"Range Rover 2.5 DSE";D;H5;1994;2002
11434;"Range Rover 2.5 DSE";D;A4;1995;2002
20976;"Range Rover 2.5 HDSE";D;A4;2000;2002
